class,id,chapter,title,zhang,futa,genghuan,sort,sort1,sort2
zhounan,getan,国风·周南,葛覃,18,6,2,1,61,1
zhounan,juaner,国风·周南,卷耳,16,10,10,2,60,2
zhounan,jiumu,国风·周南,樛木,12,12,6,3,59,3
zhounan,zhongsi,国风·周南,螽斯,12,12,6,4,58,12
zhounan,tuju,国风·周南,兔罝,12,11,5,6,56,6
zhounan,fuyi,国风·周南,芣苡,12,12,6,7,55,7
zhounan,hanguang,国风·周南,汉广,16,12,2,8,54,50
zhounan,linzhizhi,国风·周南,麟之趾,9,9,6,10,52,10
zhaonan,quechao,国风·召南,鹊巢,12,12,6,11,51,11
zhaonan,caochong,国风·召南,草虫,21,18,7,13,49,13
zhaonan,caiping,国风·召南,采蘋,12,6,6,14,48,14
zhaonan,gantang,国风·召南,甘棠,9,9,6,15,47,15
zhaonan,xinglu,国风·召南,行露,15,12,10,16,46,16
zhaonan,gaoyang,国风·召南,羔羊,12,12,6,17,45,17
zhaonan,yinqilei,国风·召南,殷其雷,18,18,6,18,44,18
zhaonan,xiaoxing,国风·召南,小星,10,6,2,20,42,20
zhaonan,jiangyousi,国风·召南,江有汜,15,15,12,21,41,21
zhaonan,yeyousijun,国风·召南,野有死麕,11,5,5,22,40,22
zhaonan,hebinongyi,国风·召南,何彼襛矣,12,7,1,23,39,23
zhaonan,zouyu,国风·召南,驺虞,6,6,4,24,38,30
beifeng,lvyi,国风·邶风,绿衣,16,12,6,26,36,26
beifeng,riyue,国风·邶风,日月,24,20,7,28,34,28
beifeng,zhongfeng,国风·邶风,终风,16,7,5,29,33,29
beifeng,kaifen,国风·邶风,凯风,16,8,4,31,31,31
beifeng,xiongzhi,国风·邶风,雄雉,16,2,0,32,30,32
beifeng,paoyoukuye,国风·邶风,匏有苦叶,16,0,0,33,29,33
beifeng,gufeng,国风·邶风,谷风,48,3,0,34,28,56
beifeng,shiwei,国风·邶风,式微,10,10,4,35,27,35
beifeng,jianxi,国风·邶风,简兮,18,2,2,37,25,37
beifeng,beimen,国风·邶风,北门,18,16,7,39,23,60
beifeng,jingnv,国风·邶风,静女,12,4,4,40,22,40
beifeng,xintai,国风·邶风,新台,12,9,6,41,21,41
yongfeng,baizhou,国风·鄘风,柏舟,14,14,6,43,19,43
yongfeng,qiangyouci,国风·鄘风,墙有茨,18,18,12,44,18,44
yongfeng,junzixielao,国风·鄘风,君子偕老,24,4,4,45,17,45
yongfeng,sangzhong,国风·鄘风,桑中,21,21,9,46,16,46
yongfeng,chunzhibenben,国风·鄘风,鹑之奔奔,8,8,2,47,15,47
yongfeng,xiangshu,国风·鄘风,相鼠,12,12,12,50,12,8
yongfeng,ganmao,国风·鄘风,干旄,18,18,15,51,11,51
yongfeng,zaichi,国风·鄘风,载驰,28,0,0,52,10,52
weifeng,qiao,国风·卫风,淇奥,27,23,9,53,9,53
weifeng,shuoren,国风·卫风,硕人,28,2,2,55,7,55
weifeng,mang,国风·卫风,氓,60,2,2,56,6,34
weifeng,zhugan,国风·卫风,竹竿,16,5,1,57,5,57
weifeng,wanlan,国风·卫风,芄兰,12,12,8,58,4,58
weifeng,boxi,国风·卫风,伯兮,16,2,0,60,2,39
weifeng,youhu,国风·卫风,有狐,12,12,6,61,1,61
weifeng,mugua,国风·卫风,木瓜,12,12,6,62,0,62
