class,id,chapter,title,zhang,futa,genghuan,sort,sort1,sort2
zhounan,guanju,国风·周南,关雎,80,52,12,0,116,68
zhounan,getan,国风·周南,葛覃,72,24,4,1,134,132
zhounan,juaner,国风·周南,卷耳,70,46,18,2,114,21
zhounan,jiumu,国风·周南,樛木,48,48,6,3,0,88
zhounan,zhongsi,国风·周南,螽斯,39,39,12,4,1,10
zhounan,taoyao,国风·周南,桃夭,48,48,14,5,2,16
zhounan,tuju,国风·周南,兔罝,48,44,8,6,71,65
zhounan,fuyi,国风·周南,芣苢,48,48,6,7,3,89
zhounan,hanguang,国风·周南,汉广,96,80,4,8,82,135
zhounan,rufen,国风·周南,汝坟,48,24,4,9,122,116
zhounan,linzhizhi,国风·周南,麟之趾,33,33,6,10,4,50
zhaonan,quechao,国风·召南,鹊巢,48,48,6,11,5,90
zhaonan,caifan,国风·召南,采蘩,48,32,8,12,106,55
zhaonan,caochong,国风·召南,草虫,84,72,9,13,77,106
zhaonan,caipin,国风·召南,采蘋,48,24,10,14,123,39
zhaonan,gantang,国风·召南,甘棠,36,36,6,15,6,56
zhaonan,xinglu,国风·召南,行露,68,48,10,16,103,70
zhaonan,gaoyang,国风·召南,羔羊,48,48,6,17,7,91
zhaonan,yinqilei,国风·召南,殷其雷,72,72,7,18,8,109
zhaonan,biaoyoumei,国风·召南,摽有梅,45,41,6,19,73,80
zhaonan,xiaoxing,国风·召南,小星,40,40,14,20,9,5
zhaonan,jiangyousi,国风·召南,江有汜,48,48,13,21,10,19
zhaonan,yeyousijun,国风·召南,野有死麕,47,16,6,22,132,87
zhaonan,hebinongyi,国风·召南,何彼襛矣,48,24,0,23,124,143
zhaonan,zouyu,国风·召南,驺虞,13,13,4,24,11,11
beifeng,baizhou1,国风·邶风,柏舟,120,32,10,25,139,117
beifeng,lvyi,国风·邶风,绿衣,64,48,7,26,92,104
beifeng,yanyan,国风·邶风,燕燕,96,44,2,27,127,141
beifeng,riyue,国风·邶风,日月,99,83,11,28,81,101
beifeng,zhongfeng,国风·邶风,终风,64,28,5,29,128,121
beifeng,jigu,国风·邶风,击鼓,80,0,0,30,153,144
beifeng,kaifen,国风·邶风,凯风,64,36,8,31,120,92
beifeng,xiongzhi,国风·邶风,雄雉,64,8,0,32,145,145
beifeng,paoyoukuye,国风·邶风,匏有苦叶,64,0,0,33,154,146
beifeng,gufeng,国风·邶风,谷风,194,8,0,34,149,147
beifeng,shiwei,国风·邶风,式微,32,32,6,35,12,47
beifeng,maoqiu,国风·邶风,旄丘,66,12,0,36,142,148
beifeng,jianxi,国风·邶风,简兮,71,8,4,37,147,131
beifeng,quanshui,国风·邶风,泉水,73,16,4,38,141,133
beifeng,beimen,国风·邶风,北门,89,73,6,39,87,120
beifeng,beifeng,国风·邶风,北风,72,64,7,40,74,111
beifeng,jingnv,国风·邶风,静女,50,17,9,41,133,51
beifeng,xintai,国风·邶风,新台,48,36,8,42,93,57
beifeng,erzichengzhou,国风·邶风,二子乘舟,32,24,2,43,94,126
yongfeng,baizhou2,国风·鄘风,柏舟,58,58,8,44,13,77
yongfeng,qiangyouci,国风·鄘风,墙有茨,69,69,12,45,14,53
yongfeng,junzixielao,国风·鄘风,君子偕老,101,16,6,46,144,130
yongfeng,sangzhong,国风·鄘风,桑中,99,99,9,47,15,113
yongfeng,chunzhibenben,国风·鄘风,鹑之奔奔,32,32,2,48,16,127
yongfeng,dingzhifangzhong,国风·鄘风,定之方中,84,8,6,49,152,125
yongfeng,didong,国风·鄘风,蝃蝀,51,18,0,50,131,149
yongfeng,xiangshu,国风·鄘风,相鼠,48,44,11,51,69,32
yongfeng,ganmao,国风·鄘风,干旄,72,72,15,52,17,41
yongfeng,zaichi,国风·鄘风,载驰,113,0,0,53,155,150
weifeng,qiao,国风·卫风,淇奥,110,90,16,54,89,73
weifeng,laopan,国风·卫风,考槃,48,48,12,55,18,22
weifeng,shuoren,国风·卫风,硕人,112,8,4,56,148,137
weifeng,mang,国风·卫风,氓,240,8,4,57,150,142
weifeng,zhugan,国风·卫风,竹竿,65,36,2,58,121,139
weifeng,wanlan,国风·卫风,芄兰,48,48,8,59,19,58
weifeng,heguang,国风·卫风,河广,32,16,0,60,125,151
