class,id,chapter,title,zhang,futa,genghuan,sort,sort1,sort2
qingmiaozhishi,qingmiao,周颂·清庙之什,清庙,34,0,0,0,6,6
qingmiaozhishi,weitianzhiming,周颂·清庙之什,维天之命,35,0,0,1,7,7
qingmiaozhishi,weiqing,周颂·清庙之什,维清,20,0,0,2,8,8
qingmiaozhishi,liewen,周颂·清庙之什,烈文,60,0,0,3,9,9
qingmiaozhishi,tianzuo,周颂·清庙之什,天作,27,0,0,4,10,10
qingmiaozhishi,haotianyouchengming,周颂·清庙之什,昊天有成命,30,0,0,5,11,11
qingmiaozhishi,wojiang,周颂·清庙之什,我将,44,0,0,6,12,12
qingmiaozhishi,shimai,周颂·清庙之什,时迈,34,0,0,7,13,13
qingmiaozhishi,zhiijng,周颂·清庙之什,执竞,56,0,0,8,14,14
qingmiaozhishi,siwen,周颂·清庙之什,思文,34,0,0,9,15,15
chengongzhishi,chengong,周颂·臣工之什,臣工,60,0,0,10,16,16
chengongzhishi,yixi,周颂·臣工之什,噫嘻,32,0,0,11,17,17
chengongzhishi,zhenlu,周颂·臣工之什,振鷺,32,0,0,12,18,18
chengongzhishi,fengnian,周颂·臣工之什,丰年,30,0,0,13,19,19
chengongzhishi,yougu,周颂·臣工之什,有瞽,52,0,0,14,20,20
chengongzhishi,qian,周颂·臣工之什,潛,24,0,0,15,21,21
chengongzhishi,yong,周颂·臣工之什,雍,64,0,0,16,22,22
chengongzhishi,zaijian,周颂·臣工之什,载见,58,0,0,17,23,23
chengongzhishi,youke,周颂·臣工之什,有客,48,0,0,18,24,24
chengongzhishi,wu,周颂·臣工之什,武,28,0,0,19,25,25
minyuxiaozizhishi,minyuxiaozi,周颂·闵予小子之什,闵予小子,45,0,0,20,26,26
minyuxiaozizhishi,fangluo,周颂·闵予小子之什,访落,50,0,0,21,27,27
minyuxiaozizhishi,jingzhi,周颂·闵予小子之什,敬之,54,0,0,22,28,28
minyuxiaozizhishi,xiaobi,周颂·闵予小子之什,小毖,34,0,0,23,29,29
minyuxiaozizhishi,zaishan,周颂·闵予小子之什,载芟,124,8,4,24,5,5
minyuxiaozizhishi,liangsi,周颂·闵予小子之什,良耜,92,0,0,25,30,30
minyuxiaozizhishi,siyi,周颂·闵予小子之什,丝衣,36,0,0,26,31,31
minyuxiaozizhishi,zhuo,周颂·闵予小子之什,酌,35,0,0,27,32,32
minyuxiaozizhishi,huan,周颂·闵予小子之什,桓,34,0,0,28,33,33
minyuxiaozizhishi,lai,周颂·闵予小子之什,賚,25,0,0,29,34,34
minyuxiaozizhishi,ban,周颂·闵予小子之什,般,28,0,0,30,35,35
jiongzhishi,jiong,鲁颂·駉之什,駉,124,124,32,31,0,0
jiongzhishi,youbi,鲁颂·駉之什,有駜,98,84,13,32,1,1
jiongzhishi,panshui,鲁颂·駉之什,泮水,257,52,11,33,4,4
jiongzhishi,bigong,鲁颂·駉之什,閟宮,492,0,0,34,36,36
shangsong,na,商頌,那,88,0,0,35,37,37
shangsong,liezu,商頌,烈祖,89,0,0,36,38,38
shangsong,xuanniao,商頌,玄鸟,95,0,0,37,39,39
shangsong,changfa,商頌,长发,217,44,16,38,3,2
shangsong,yinwu,商頌,殷武,233,64,12,39,2,3
