font,pcol,prow,lcol,lrow,seq,cross
泛,1,1,0,0,0,0
彼,1,2,0,0,0,0
柏,1,3,0,0,0,0
舟,1,4,0,0,0,0
,,,,,,
亦,1,6,0,0,0,0
泛,1,7,0,0,0,0
其,1,8,0,0,0,0
流,1,9,0,0,0,0
,,,,,,
耿,1,11,0,0,0,0
耿,1,12,0,0,0,0
不,1,13,0,0,0,0
寐,1,14,0,0,0,0
,,,,,,
如,1,16,0,0,0,0
有,1,17,0,0,0,0
隐,1,18,0,0,0,0
忧,1,19,0,0,0,0
,,,,,,
微,1,21,0,0,0,0
我,1,22,0,0,0,0
无,1,23,0,0,0,0
酒,1,24,0,0,0,0
,,,,,,
以,1,26,0,0,0,0
敖,1,27,0,0,0,0
以,1,28,0,0,0,0
游,1,29,0,0,0,0
,,,,,,
我,2,1,3,1,0,0
心,2,2,3,2,0,0
匪,2,3,3,3,0,0
鉴,2,4,3,4,1,0
,,,,,,
不,2,6,3,6,0,0
可,2,7,3,7,0,0
以,2,8,3,8,1,0
茹,2,9,3,9,1,0
,,,,,,
亦,2,11,0,0,0,0
有,2,12,0,0,0,0
兄,2,13,0,0,0,0
弟,2,14,0,0,0,0
,,,,,,
不,2,16,3,16,0,0
可,2,17,3,17,0,0
以,2,18,3,18,1,0
据,2,19,3,19,1,0
,,,,,,
薄,2,21,0,0,0,0
言,2,22,0,0,0,0
往,2,23,0,0,0,0
诉,2,24,0,0,0,0
,,,,,,
逢,2,26,0,0,0,0
彼,2,27,0,0,0,0
之,2,28,0,0,0,0
怒,2,29,0,0,0,0
,,,,,,
我,3,1,0,0,0,0
心,3,2,0,0,0,0
匪,3,3,0,0,0,0
石,3,4,0,0,0,0
,,,,,,
不,3,6,0,0,0,0
可,3,7,0,0,0,0
转,3,8,0,0,0,0
也,3,9,0,0,0,0
,,,,,,
我,3,11,0,0,0,0
心,3,12,0,0,0,0
匪,3,13,0,0,0,0
席,3,14,0,0,0,0
,,,,,,
不,3,16,0,0,0,0
可,3,17,0,0,0,0
卷,3,18,0,0,0,0
也,3,19,0,0,0,0
,,,,,,
威,3,21,0,0,0,0
仪,3,22,0,0,0,0
棣,3,23,0,0,0,0
棣,3,24,0,0,0,0
,,,,,,
不,3,26,0,0,0,0
可,3,27,0,0,0,0
选,3,28,0,0,0,0
也,3,29,0,0,0,0
,,,,,,
忧,4,1,0,0,0,0
心,4,2,0,0,0,0
悄,4,3,0,0,0,0
悄,4,4,0,0,0,0
,,,,,,
愠,4,6,0,0,0,0
于,4,7,0,0,0,0
群,4,8,0,0,0,0
小,4,9,0,0,0,0
,,,,,,
觏,4,11,0,0,0,0
闵,4,12,0,0,0,0
既,4,13,0,0,0,0
多,4,14,0,0,0,0
,,,,,,
受,4,16,0,0,0,0
侮,4,17,0,0,0,0
不,4,18,0,0,0,0
少,4,19,0,0,0,0
,,,,,,
静,4,21,5,21,0,0
言,4,22,5,22,0,0
思,4,23,5,23,0,0
之,4,24,5,24,0,0
,,,,,,
寤,4,26,0,0,0,0
辟,4,27,0,0,0,0
有,4,28,0,0,0,0
摽,4,29,0,0,0,0
,,,,,,
日,5,1,0,0,0,0
居,5,2,0,0,0,0
月,5,3,0,0,0,0
诸,5,4,0,0,0,0
,,,,,,
胡,5,6,0,0,0,0
迭,5,7,0,0,0,0
而,5,8,0,0,0,0
微,5,9,0,0,0,0
,,,,,,
心,5,11,0,0,0,0
之,5,12,0,0,0,0
忧,5,13,0,0,0,0
矣,5,14,0,0,0,0
,,,,,,
如,5,16,0,0,0,0
匪,5,17,0,0,0,0
浣,5,18,0,0,0,0
衣,5,19,0,0,0,0
,,,,,,
静,5,21,0,0,0,0
言,5,22,0,0,0,0
思,5,23,0,0,0,0
之,5,24,0,0,0,0
,,,,,,
不,5,26,0,0,0,0
能,5,27,0,0,0,0
奋,5,28,0,0,0,0
飞,5,29,0,0,0,0
