font,pcol,prow,lcol,lrow,seq,cross
摽,1,1,2,1,0,0
有,1,2,2,2,0,0
梅,1,3,2,3,0,0
,,,,,,
其,1,5,2,5,0,0
实,1,6,2,6,0,0
七,1,7,2,7,1,0
兮,1,8,2,8,0,0
,,,,,,
求,1,10,2,10,0,0
我,1,11,2,11,0,0
庶,1,12,2,12,0,0
士,1,13,2,13,0,0
,,,,,,
迨,1,15,2,15,0,0
其,1,16,2,16,0,0
吉,1,17,2,17,1,0
兮,1,18,2,18,0,0
,,,,,,
摽,2,1,3,1,0,0
有,2,2,3,2,0,0
梅,2,3,3,3,0,0
,,,,,,
其,2,5,3,0,0,0
实,2,6,3,0,0,0
三,2,7,3,0,2,0
兮,2,8,3,0,0,0
,,,,,,
求,2,10,3,10,0,0
我,2,11,3,11,0,0
庶,2,12,3,12,0,0
士,2,13,3,13,0,0
,,,,,,
迨,2,15,3,15,0,0
其,2,16,3,16,0,0
今,2,17,3,17,2,0
兮,2,18,3,18,2,0
,,,,,,
摽,3,1,0,0,0,0
有,3,2,0,0,0,0
梅,3,3,0,0,0,0
,,,,,,
顷,3,5,0,0,0,0
筐,3,6,0,0,0,0
塈,3,7,0,0,0,0
之,3,8,0,0,0,0
,,,,,,
求,3,10,0,0,0,0
我,3,11,0,0,0,0
庶,3,12,0,0,0,0
士,3,13,0,0,0,0
,,,,,,
迨,3,15,0,0,0,0
其,3,16,0,0,0,0
谓,3,17,0,0,0,0
之,3,18,0,0,0,0
