font,pcol,prow,lcol,lrow,seq,cross
于,1,1,2,1,0,0
以,1,2,2,2,0,0
采,1,3,2,3,0,0
蘩,1,4,2,4,0,0
,,,,,,
于,1,6,2,6,0,0
沼,1,7,2,7,1,0
于,1,8,2,8,1,0
沚,1,9,2,9,1,0
,,,,,,
于,1,11,2,11,0,0
以,1,12,2,12,0,0
用,1,13,2,13,0,0
之,1,14,2,14,0,0
,,,,,,
公,1,16,2,16,0,0
侯,1,17,2,17,0,0
之,1,18,2,18,0,0
事,1,19,2,19,1,0
,,,,,,
于,2,1,0,0,0,0
以,2,2,0,0,0,0
采,2,3,0,0,0,0
蘩,2,4,0,0,0,0
,,,,,,
于,2,6,0,0,0,0
涧,2,7,0,0,0,0
之,2,8,0,0,2,0
中,2,9,0,0,0,0
,,,,,,
于,2,11,0,0,0,0
以,2,12,0,0,0,0
用,2,13,0,0,0,0
之,2,14,0,0,0,0
,,,,,,
公,2,16,0,0,0,0
侯,2,17,0,0,0,0
之,2,18,0,0,2,0
宫,2,19,0,0,0,0
,,,,,,
被,3,1,0,0,0,0
之,3,2,0,0,0,0
僮,3,3,0,0,0,0
僮,3,4,0,0,0,0
,,,,,,
夙,3,6,0,0,0,0
夜,3,7,0,0,0,0
在,3,8,0,0,0,0
公,3,9,0,0,0,0
,,,,,,
被,3,11,0,0,0,0
之,3,12,0,0,0,0
祁,3,13,0,0,0,0
祁,3,14,0,0,0,0
,,,,,,
薄,3,16,0,0,0,0
言,3,17,0,0,0,0
还,3,18,0,0,0,0
归,3,19,0,0,0,0
