font,pcol,prow,lcol,lrow,seq,cross,color
采,1,1,2,1,0,0,1
苓,1,2,2,2,1,0,2
采,1,3,2,3,0,0,1
苓,1,4,2,4,1,0,2
,,,,,,,
首,1,6,2,6,0,0,1
阳,1,7,2,7,0,0,1
之,1,8,2,8,0,0,1
巅,1,9,2,9,1,0,2
,,,,,,,
人,1,11,2,11,0,0,1
之,1,12,2,12,0,0,1
为,1,13,2,13,0,0,1
言,1,14,2,14,0,0,1
,,,,,,,
苟,1,16,2,16,0,0,1
亦,1,17,2,17,0,0,1
无,1,18,2,18,0,0,1
信,1,19,2,19,1,0,2
,,,,,,,
舍,1,21,2,21,0,0,1
旃,1,22,2,22,0,0,1
舍,1,23,2,23,0,0,1
旃,1,24,2,24,0,0,1
,,,,,,,
苟,1,26,2,26,0,0,1
亦,1,27,2,27,0,0,1
无,1,28,2,28,0,0,1
然,1,29,2,29,0,0,1
,,,,,,,
人,1,31,2,31,0,0,1
之,1,32,2,32,0,0,1
为,1,33,2,33,0,0,1
言,1,34,2,34,0,0,1
,,,,,,,
胡,1,36,2,36,0,0,1
得,1,37,2,37,0,0,1
焉,1,38,2,38,0,0,1
,,,,,,,
采,2,1,3,1,0,0,1
苦,2,2,3,2,2,0,2
采,2,3,3,3,0,0,1
苦,2,4,3,4,2,0,2
,,,,,,,
首,2,6,3,6,0,0,1
阳,2,7,3,7,0,0,1
之,2,8,3,8,0,0,1
下,2,9,3,9,2,0,2
,,,,,,,
人,2,11,3,11,0,0,1
之,2,12,3,12,0,0,1
为,2,13,3,13,0,0,1
言,2,14,3,14,0,0,1
,,,,,,,
苟,2,16,3,16,0,0,1
亦,2,17,3,17,0,0,1
无,2,18,3,18,0,0,1
与,2,19,3,19,2,0,2
,,,,,,,
舍,2,21,3,21,0,0,1
旃,2,22,3,22,0,0,1
舍,2,23,3,23,0,0,1
旃,2,24,3,24,0,0,1
,,,,,,,
苟,2,26,3,26,0,0,1
亦,2,27,3,27,0,0,1
无,2,28,3,28,0,0,1
然,2,29,3,29,0,0,1
,,,,,,,
人,2,31,3,31,0,0,1
之,2,32,3,32,0,0,1
为,2,33,3,33,0,0,1
言,2,34,3,34,0,0,1
,,,,,,,
胡,2,36,3,36,0,0,1
得,2,37,3,37,0,0,1
焉,2,38,3,38,0,0,1
,,,,,,,
采,3,1,0,0,0,0,1
葑,3,2,0,0,0,0,2
采,3,3,0,0,0,0,1
葑,3,4,0,0,0,0,2
,,,,,,,
首,3,6,0,0,0,0,1
阳,3,7,0,0,0,0,1
之,3,8,0,0,0,0,1
东,3,9,0,0,0,0,2
,,,,,,,
人,3,11,0,0,0,0,1
之,3,12,0,0,0,0,1
为,3,13,0,0,0,0,1
言,3,14,0,0,0,0,1
,,,,,,,
苟,3,16,0,0,0,0,1
亦,3,17,0,0,0,0,1
无,3,18,0,0,0,0,1
从,3,19,0,0,0,0,2
,,,,,,,
舍,3,21,0,0,0,0,1
旃,3,22,0,0,0,0,1
舍,3,23,0,0,0,0,1
旃,3,24,0,0,0,0,1
,,,,,,,
苟,3,26,0,0,0,0,1
亦,3,27,0,0,0,0,1
无,3,28,0,0,0,0,1
然,3,29,0,0,0,0,1
,,,,,,,
人,3,31,0,0,0,0,1
之,3,32,0,0,0,0,1
为,3,33,0,0,0,0,1
言,3,34,0,0,0,0,1
,,,,,,,
胡,3,36,0,0,0,0,1
得,3,37,0,0,0,0,1
焉,3,38,0,0,0,0,1
