font,pcol,prow,lcol,lrow,seq,cross
于,1,1,2,1,0,0
以,1,2,2,2,0,0
采,1,3,2,3,1,0
蘋,1,4,2,4,1,0
,,,,,,
南,1,6,0,0,0,0
涧,1,7,0,0,0,0
之,1,8,0,0,0,0
滨,1,9,0,0,0,0
,,,,,,
于,1,11,2,11,0,0
以,1,12,2,12,0,0
采,1,13,2,13,1,0
藻,1,14,2,14,1,0
,,,,,,
于,1,16,0,0,0,0
彼,1,17,0,0,0,0
行,1,18,0,0,0,0
潦,1,19,0,0,0,0
,,,,,,
于,2,1,3,1,0,0
以,2,2,3,2,0,0
盛,2,3,3,3,0,0
之,2,4,3,4,0,0
,,,,,,
维,2,6,0,0,0,0
筐,2,7,0,0,0,0
及,2,8,0,0,0,0
筥,2,9,0,0,0,0
,,,,,,
于,2,11,3,11,0,0
以,2,12,3,12,0,0
湘,2,13,3,13,0,0
之,2,14,3,14,0,0
,,,,,,
维,2,16,0,0,0,0
锜,2,17,0,0,0,0
及,2,18,0,0,0,0
釜,2,19,0,0,0,0
,,,,,,
于,3,1,0,0,0,0
以,3,2,0,0,0,0
奠,3,3,0,0,2,0
之,3,4,0,0,0,0
,,,,,,
宗,3,6,0,0,0,0
室,3,7,0,0,0,0
牖,3,8,0,0,0,0
下,3,9,0,0,0,0
,,,,,,
谁,3,11,0,0,2,0
其,3,12,0,0,2,0
尸,3,13,0,0,2,0
之,3,14,0,0,0,0
,,,,,,
有,3,16,0,0,0,0
齐,3,17,0,0,0,0
季,3,18,0,0,0,0
女,3,19,0,0,0,0
