font,pcol,prow,lcol,lrow,seq,cross
喓,1,1,0,0,0,0
喓,1,2,0,0,0,0
草,1,3,0,0,0,0
虫,1,4,0,0,0,0
,,,,,,
趯,1,6,0,0,0,0
趯,1,7,0,0,0,0
阜,1,8,0,0,0,0
螽,1,9,0,0,0,0
,,,,,,
未,1,11,2,11,0,0
见,1,12,2,12,0,0
君,1,13,2,13,0,0
子,1,14,2,14,0,0
,,,,,,
忧,1,16,2,16,0,0
心,1,17,2,17,0,0
忡,1,18,2,18,1,0
忡,1,19,2,19,1,0
,,,,,,
亦,1,21,2,21,0,0
既,1,22,2,22,0,0
见,1,23,2,23,0,0
止,1,24,2,24,0,0
,,,,,,
亦,1,26,2,26,0,0
既,1,27,2,27,0,0
觏,1,28,2,28,0,0
止,1,29,2,29,0,0
,,,,,,
我,1,31,2,31,0,0
心,1,32,2,32,0,0
则,1,33,2,33,0,0
降,1,34,2,34,1,0
,,,,,,
陟,2,1,3,1,0,0
彼,2,2,3,2,0,0
南,2,3,3,3,0,0
山,2,4,3,4,0,0
,,,,,,
言,2,6,3,6,0,0
采,2,7,3,7,0,0
其,2,8,3,8,0,0
蕨,2,9,3,9,2,0
,,,,,,
未,2,11,3,11,0,0
见,2,12,3,12,0,0
君,2,13,3,13,0,0
子,2,14,3,14,0,0
,,,,,,
忧,2,16,0,0,0,0
心,2,17,0,0,0,0
惙,2,18,0,0,2,0
惙,2,19,0,0,2,0
,,,,,,
亦,2,21,3,21,0,0
既,2,22,3,22,0,0
见,2,23,3,23,0,0
止,2,24,3,24,0,0
,,,,,,
亦,2,26,3,26,0,0
既,2,27,3,27,0,0
觏,2,28,3,28,0,0
止,2,29,3,29,0,0
,,,,,,
我,2,31,3,31,0,0
心,2,32,3,32,0,0
则,2,33,3,33,0,0
说,2,34,3,34,2,0
,,,,,,
陟,3,1,0,0,0,0
彼,3,2,0,0,0,0
南,3,3,0,0,0,0
山,3,4,0,0,0,0
,,,,,,
言,3,6,0,0,0,0
采,3,7,0,0,0,0
其,3,8,0,0,0,0
薇,3,9,0,0,0,0
,,,,,,
未,3,11,0,0,0,0
见,3,12,0,0,0,0
君,3,13,0,0,0,0
子,3,14,0,0,0,0
,,,,,,
我,3,16,0,0,0,0
心,3,17,0,0,0,0
伤,3,18,0,0,0,0
悲,3,19,0,0,0,0
,,,,,,
亦,3,21,0,0,0,0
既,3,22,0,0,0,0
见,3,23,0,0,0,0
止,3,24,0,0,0,0
,,,,,,
亦,3,26,0,0,0,0
既,3,27,0,0,0,0
觏,3,28,0,0,0,0
止,3,29,0,0,0,0
,,,,,,
我,3,31,0,0,0,0
心,3,32,0,0,0,0
则,3,33,0,0,0,0
夷,3,34,0,0,0,0
