font,pcol,prow,lcol,lrow,seq,cross,color
有,1,1,0,0,0,0,0
车,1,2,0,0,0,0,0
邻,1,3,0,0,0,0,0
邻,1,4,0,0,0,0,0
,,,,,,,
有,1,6,0,0,0,0,0
马,1,7,0,0,0,0,0
白,1,8,0,0,0,0,0
颠,1,9,0,0,0,0,0
,,,,,,,
未,1,11,0,0,0,0,0
见,1,12,0,0,0,0,0
君,1,13,0,0,0,0,0
子,1,14,0,0,0,0,0
,,,,,,,
寺,1,16,0,0,0,0,0
人,1,17,0,0,0,0,0
之,1,18,0,0,0,0,0
令,1,19,0,0,0,0,0
,,,,,,,
阪,2,1,3,1,0,0,1
有,2,2,3,2,0,0,1
漆,2,3,3,3,1,0,2
,,,,,,,
,,,,,,,
隰,2,6,3,6,0,0,1
有,2,7,3,7,0,0,1
栗,2,8,3,8,1,0,2
,,,,,,,
,,,,,,,
既,2,11,3,11,0,0,1
见,2,12,3,12,0,0,1
君,2,13,3,13,0,0,1
子,2,14,3,14,0,0,1
,,,,,,,
并,2,16,3,16,0,0,1
坐,2,17,3,17,0,0,1
鼓,2,18,3,18,0,0,1
瑟,2,19,3,19,1,0,2
,,,,,,,
今,2,21,3,21,0,0,1
者,2,22,3,22,0,0,1
不,2,23,3,23,0,0,1
乐,2,24,3,24,0,0,1
,,,,,,,
逝,2,26,3,26,0,0,1
者,2,27,3,27,0,0,1
其,2,28,3,28,0,0,1
耋,2,29,3,29,1,0,2
,,,,,,,
阪,3,1,0,0,0,0,1
有,3,2,0,0,0,0,1
桑,3,3,0,0,0,0,2
,,,,,,,
,,,,,,,
隰,3,6,0,0,0,0,1
有,3,7,0,0,0,0,1
杨,3,8,0,0,0,0,2
,,,,,,,
,,,,,,,
既,3,11,0,0,0,0,1
见,3,12,0,0,0,0,1
君,3,13,0,0,0,0,1
子,3,14,0,0,0,0,1
,,,,,,,
并,3,16,0,0,0,0,1
坐,3,17,0,0,0,0,1
鼓,3,18,0,0,0,0,1
簧,3,19,0,0,0,0,2
,,,,,,,
今,3,21,0,0,0,0,1
者,3,22,0,0,0,0,1
不,3,23,0,0,0,0,1
乐,3,24,0,0,0,0,1
,,,,,,,
逝,3,26,0,0,0,0,1
者,3,27,0,0,0,0,1
其,3,28,0,0,0,0,1
亡,3,29,0,0,0,0,2
