font,pcol,prow,lcol,lrow,seq,cross
有,1,1,2,1,0,0
杕,1,2,2,2,0,0
之,1,3,2,3,0,0
杜,1,4,2,4,0,0
,1,5,,5,0,0
有,1,6,0,0,0,0
睆,1,7,0,0,0,0
其,1,8,3,8,0,0
实,1,9,0,0,0,0
,1,10,,10,0,0
王,1,11,2,11,0,0
事,1,12,2,12,0,0
靡,1,13,2,13,0,0
盬,1,14,2,14,0,0
,1,15,,,0,0
继,1,16,0,0,0,0
嗣,1,17,0,0,0,0
我,1,18,0,0,0,0
日,1,19,0,0,0,0
,1,20,,,0,0
日,1,21,0,0,0,0
月,1,22,0,0,0,0
阳,1,23,0,0,0,0
止,1,24,2,24,0,0
,1,25,,,0,0
女,1,26,2,26,0,0
心,1,27,2,27,0,0
伤,1,28,2,28,1,0
止,1,29,2,29,0,0
,1,30,2,30,0,0
征,1,31,2,31,0,0
夫,1,32,2,32,0,0
遑,1,33,2,33,1,0
止,1,34,2,34,0,0
,,,,,0,0
有,2,1,0,0,0,0
杕,2,2,0,0,0,0
之,2,3,0,0,0,0
杜,2,4,0,0,0,0
,2,5,0,,,
其,2,6,0,0,0,0
叶,2,7,0,0,0,0
萋,2,8,0,0,0,0
萋,2,9,0,0,0,0
,2,10,0,,,
王,2,11,3,11,0,0
事,2,12,3,12,0,0
靡,2,13,3,13,0,0
盬,2,14,3,14,0,0
,2,15,0,,,
我,2,16,0,0,0,0
心,2,17,0,0,0,0
伤,2,18,0,0,0,0
悲,2,19,0,0,0,0
,2,20,0,,,
卉,2,21,0,0,0,0
木,2,22,0,0,0,0
萋,2,23,0,0,0,0
止,2,24,4,24,0,0
,2,25,0,,,
女,2,26,0,0,0,0
心,2,27,0,0,0,0
悲,2,28,0,0,2,0
止,2,29,4,29,0,0
,2,30,0,,,
征,2,31,3,31,0,0
夫,2,32,3,32,0,0
归,2,33,3,33,2,0
止,2,34,3,34,0,0
,,,0,,,
陟,3,1,0,0,0,0
彼,3,2,0,0,0,0
北,3,3,0,0,0,0
山,3,4,0,,,
,3,5,,,,
言,3,6,0,0,0,0
采,3,7,0,0,0,0
其,3,8,0,0,0,0
杞,3,9,0,0,0,0
,3,10,,,,
王,3,11,0,0,0,0
事,3,12,0,0,0,0
靡,3,13,0,0,0,0
盬,3,14,0,0,0,0
,3,15,,,,
忧,3,16,0,0,0,0
我,3,17,0,0,0,0
父,3,18,0,0,0,0
母,3,19,0,0,0,0
,3,20,0,0,0,0
檀,3,21,0,0,0,0
车,3,22,0,0,0,0
幝,3,23,0,0,0,0
幝,3,24,0,0,0,0
,3,25,0,0,0,0
四,3,26,0,0,0,0
牡,3,27,0,0,0,0
痯,3,28,0,0,0,0
痯,3,29,0,0,0,0
,3,30,,,,
征,3,31,4,31,0,0
夫,3,32,4,32,0,0
不,3,33,4,33,3,0
远,3,34,4,34,1,0
,,,,,,
匪,4,1,0,0,0,0
载,4,2,0,0,0,0
匪,4,3,0,0,0,0
来,4,4,0,0,0,0
,4,5,0,0,0,0
忧,4,6,0,0,0,0
心,4,7,0,0,0,0
孔,4,8,0,0,0,0
疚,4,9,0,0,0,0
,4,10,0,0,0,0
斯,4,11,0,0,0,0
逝,4,12,0,0,0,0
不,4,13,0,0,0,0
至,4,14,0,0,0,0
,4,15,0,0,0,0
而,4,16,0,0,0,0
多,4,17,0,0,0,0
为,4,18,0,0,0,0
恤,4,19,0,0,0,0
,4,20,0,0,0,0
卜,4,21,0,0,0,0
筮,4,22,0,0,0,0
偕,4,23,0,0,0,0
止,4,24,0,0,0,0
,4,25,0,0,0,0
会,4,26,0,0,0,0
言,4,27,0,0,0,0
近,4,28,0,0,0,0
止,4,29,0,0,0,0
,4,30,0,0,0,0
征,4,31,0,0,0,0
夫,4,32,0,0,0,0
迩,4,33,0,0,4,0
止,4,34,0,0,0,0
