font,pcol,prow,lcol,lrow,seq,cross,color
东,1,1,2,1,0,0,1
方,1,2,2,2,0,0,1
未,1,3,2,3,0,0,1
明,1,4,2,4,1,0,2
,,,,,,,
颠,1,6,2,6,0,0,1
倒,1,7,2,7,0,0,1
衣,1,8,2,9,0,1,1
裳,1,9,2,8,0,1,1
,,,,,,,
颠,1,11,2,13,0,1,1
之,1,12,2,12,0,0,1
倒,1,13,2,11,0,1,1
之,1,14,2,14,0,0,1
,,,,,,,
自,1,16,2,16,0,0,1
公,1,17,2,17,0,0,1
召,1,18,2,18,1,0,2
之,1,19,2,19,0,0,1
,,,,,,,
东,2,1,0,0,0,0,1
方,2,2,0,0,0,0,1
未,2,3,0,0,0,0,1
晞,2,4,0,0,0,0,2
,,,,,,,
颠,2,6,0,0,0,0,1
倒,2,7,0,0,0,0,1
裳,2,8,0,0,0,0,1
衣,2,9,0,0,0,0,1
,,,,,,,
倒,2,11,0,0,0,0,1
之,2,12,0,0,0,0,1
颠,2,13,0,0,0,0,1
之,2,14,0,0,0,0,1
,,,,,,,
自,2,16,0,0,0,0,1
公,2,17,0,0,0,0,1
令,2,18,0,0,0,0,2
之,2,19,0,0,0,0,1
,,,,,,,
折,3,1,0,0,0,0,0
柳,3,2,0,0,0,0,0
樊,3,3,0,0,0,0,0
圃,3,4,0,0,0,0,0
,,,,,,,
狂,3,6,0,0,0,0,0
夫,3,7,0,0,0,0,0
瞿,3,8,0,0,0,0,0
瞿,3,9,0,0,0,0,0
,,,,,,,
不,3,11,0,0,0,0,0
能,3,12,0,0,0,0,0
辰,3,13,0,0,0,0,0
夜,3,14,0,0,0,0,0
,,,,,,,
不,3,16,0,0,0,0,0
夙,3,17,0,0,0,0,0
则,3,18,0,0,0,0,0
莫,3,19,0,0,0,0,0
 ,,,,,,,
