font,pcol,prow,lcol,lrow,seq,cross,color
东,1,1,2,1,0,0,1
门,1,2,2,2,0,0,1
之,1,3,2,3,0,0,1
杨,1,4,2,4,0,0,1
,,,,,,,
其,1,6,2,6,0,0,1
叶,1,7,2,7,0,0,1
牂,1,8,2,8,1,0,2
牂,1,9,2,9,1,0,2
,,,,,,,
昏,1,11,2,11,0,0,1
以,1,12,2,12,0,0,1
为,1,13,2,13,0,0,1
期,1,14,2,14,0,0,1
,,,,,,,
明,1,16,2,16,0,0,1
星,1,17,2,17,0,0,1
煌,1,18,2,18,1,0,2
煌,1,19,2,19,1,0,2
,,,,,,,
东,2,1,0,0,0,0,1
门,2,2,0,0,0,0,1
之,2,3,0,0,0,0,1
杨,2,4,0,0,0,0,1
,,,,,,,
其,2,6,0,0,0,0,1
叶,2,7,0,0,0,0,1
肺,2,8,0,0,0,0,2
肺,2,9,0,0,0,0,2
,,,,,,,
昏,2,11,0,0,0,0,1
以,2,12,0,0,0,0,1
为,2,13,0,0,0,0,1
期,2,14,0,0,0,0,1
,,,,,,,
明,2,16,0,0,0,0,1
星,2,17,0,0,0,0,1
晢,2,18,0,0,0,0,2
晢,2,19,0,0,0,0,2
