font,pcol,prow,lcol,lrow,seq,cross,color
我,1,1,2,1,0,0,1
徂,1,2,2,2,0,0,1
东,1,3,2,3,0,0,1
山,1,4,2,4,0,0,1
,,,,,,,
慆,1,6,2,6,0,0,1
慆,1,7,2,7,0,0,1
不,1,8,2,8,0,0,1
归,1,9,2,9,0,0,1
,,,,,,,
我,1,11,2,11,0,0,1
来,1,12,2,12,0,0,1
自,1,13,2,13,0,0,1
东,1,14,2,14,0,0,1
,,,,,,,
零,1,16,2,16,0,0,1
雨,1,17,2,17,0,0,1
其,1,18,2,18,0,0,1
濛,1,19,2,19,0,0,1
,,,,,,,
我,1,21,0,0,0,0,0
东,1,22,0,0,0,0,0
曰,1,23,0,0,0,0,0
归,1,24,0,0,0,0,0
,,,,,,,
我,1,26,0,0,0,0,0
心,1,27,0,0,0,0,0
西,1,28,0,0,0,0,0
悲,1,29,0,0,0,0,0
,,,,,,,
制,1,31,0,0,0,0,0
彼,1,32,0,0,0,0,0
裳,1,33,0,0,0,0,0
衣,1,34,0,0,0,0,0
,,,,,,,
勿,1,36,0,0,0,0,0
士,1,37,0,0,0,0,0
行,1,38,0,0,0,0,0
枚,1,39,0,0,0,0,0
,,,,,,,
蜎,1,41,0,0,0,0,0
蜎,1,42,0,0,0,0,0
者,1,43,0,0,0,0,0
蠋,1,44,0,0,0,0,0
,,,,,,,
烝,1,46,0,0,0,0,0
在,1,47,0,0,0,0,0
桑,1,48,0,0,0,0,0
野,1,49,0,0,0,0,0
,,,,,,,
敦,1,51,0,0,0,0,0
彼,1,52,0,0,0,0,0
独,1,53,0,0,0,0,0
宿,1,54,0,0,0,0,0
,,,,,,,
亦,1,56,0,0,0,0,0
在,1,57,0,0,0,0,0
车,1,58,0,0,0,0,0
下,1,59,0,0,0,0,0
,,,,,,,
我,2,1,3,1,0,0,1
徂,2,2,3,2,0,0,1
东,2,3,3,3,0,0,1
山,2,4,3,4,0,0,1
,,,,,,,
慆,2,6,3,6,0,0,1
慆,2,7,3,7,0,0,1
不,2,8,3,8,0,0,1
归,2,9,3,9,0,0,1
,,,,,,,
我,2,11,3,11,0,0,1
来,2,12,3,12,0,0,1
自,2,13,3,13,0,0,1
东,2,14,3,14,0,0,1
,,,,,,,
零,2,16,3,16,0,0,1
雨,2,17,3,17,0,0,1
其,2,18,3,18,0,0,1
濛,2,19,3,19,0,0,1
,,,,,,,
果,2,21,0,0,0,0,0
臝,2,22,0,0,0,0,0
之,2,23,0,0,0,0,0
实,2,24,0,0,0,0,0
,,,,,,,
亦,2,26,0,0,0,0,0
施,2,27,0,0,0,0,0
于,2,28,0,0,0,0,0
宇,2,29,0,0,0,0,0
,,,,,,,
伊,2,31,0,0,0,0,0
威,2,32,0,0,0,0,0
在,2,33,0,0,0,0,0
室,2,34,0,0,0,0,0
,,,,,,,
蠨,2,36,0,0,0,0,0
蛸,2,37,0,0,0,0,0
在,2,38,0,0,0,0,0
户,2,39,0,0,0,0,0
,,,,,,,
町,2,41,0,0,0,0,0
畽,2,42,0,0,0,0,0
鹿,2,43,0,0,0,0,0
场,2,44,0,0,0,0,0
,,,,,,,
熠,2,46,0,0,0,0,0
耀,2,47,0,0,0,0,0
宵,2,48,0,0,0,0,0
行,2,49,0,0,0,0,0
,,,,,,,
不,2,51,0,0,0,0,0
可,2,52,0,0,0,0,0
畏,2,53,0,0,0,0,0
也,2,54,0,0,0,0,0
,,,,,,,
伊,2,56,0,0,0,0,0
可,2,57,0,0,0,0,0
怀,2,58,0,0,0,0,0
也,2,59,0,0,0,0,0
,,,,,,,
我,3,1,4,1,0,0,1
徂,3,2,4,2,0,0,1
东,3,3,4,3,0,0,1
山,3,4,4,4,0,0,1
,,,,,,,
慆,3,6,4,6,0,0,1
慆,3,7,4,7,0,0,1
不,3,8,4,8,0,0,1
归,3,9,4,9,0,0,1
,,,,,,,
我,3,11,4,11,0,0,1
来,3,12,4,12,0,0,1
自,3,13,4,13,0,0,1
东,3,14,4,14,0,0,1
,,,,,,,
零,3,16,4,16,0,0,1
雨,3,17,4,17,0,0,1
其,3,18,4,18,0,0,1
濛,3,19,4,19,0,0,1
,,,,,,,
鹳,3,21,0,0,0,0,0
鸣,3,22,0,0,0,0,0
于,3,23,0,0,0,0,0
垤,3,24,0,0,0,0,0
,,,,,,,
妇,3,26,0,0,0,0,0
叹,3,27,0,0,0,0,0
于,3,28,0,0,0,0,0
室,3,29,0,0,0,0,0
,,,,,,,
洒,3,31,0,0,0,0,0
扫,3,32,0,0,0,0,0
穹,3,33,0,0,0,0,0
窒,3,34,0,0,0,0,0
,,,,,,,
我,3,36,0,0,0,0,0
征,3,37,0,0,0,0,0
聿,3,38,0,0,0,0,0
至,3,39,0,0,0,0,0
,,,,,,,
有,3,41,0,0,0,0,0
敦,3,42,0,0,0,0,0
瓜,3,43,0,0,0,0,0
苦,3,44,0,0,0,0,0
,,,,,,,
烝,3,46,0,0,0,0,0
在,3,47,0,0,0,0,0
栗,3,48,0,0,0,0,0
薪,3,49,0,0,0,0,0
,,,,,,,
自,3,51,0,0,0,0,0
我,3,52,0,0,0,0,0
不,3,53,0,0,0,0,0
见,3,54,0,0,0,0,0
,,,,,,,
于,3,56,0,0,0,0,0
今,3,57,0,0,0,0,0
三,3,58,0,0,0,0,0
年,3,59,0,0,0,0,0
,,,,,,,
我,4,1,0,0,0,0,1
徂,4,2,0,0,0,0,1
东,4,3,0,0,0,0,1
山,4,4,0,0,0,0,1
,,,,,,,
慆,4,6,0,0,0,0,1
慆,4,7,0,0,0,0,1
不,4,8,0,0,0,0,1
归,4,9,0,0,0,0,1
,,,,,,,
我,4,11,0,0,0,0,1
来,4,12,0,0,0,0,1
自,4,13,0,0,0,0,1
东,4,14,0,0,0,0,1
,,,,,,,
零,4,16,0,0,0,0,1
雨,4,17,0,0,0,0,1
其,4,18,0,0,0,0,1
濛,4,19,0,0,0,0,1
,,,,,,,
仓,4,21,0,0,0,0,0
庚,4,22,0,0,0,0,0
于,4,23,0,0,0,0,0
飞,4,24,0,0,0,0,0
,,,,,,,
熠,4,26,0,0,0,0,0
耀,4,27,0,0,0,0,0
其,4,28,0,0,0,0,0
羽,4,29,0,0,0,0,0
,,,,,,,
之,4,31,0,0,0,0,0
子,4,32,0,0,0,0,0
于,4,33,0,0,0,0,0
归,4,34,0,0,0,0,0
,,,,,,,
皇,4,36,0,0,0,0,0
驳,4,37,0,0,0,0,0
其,4,38,0,0,0,0,0
马,4,39,0,0,0,0,0
,,,,,,,
亲,4,41,0,0,0,0,0
结,4,42,0,0,0,0,0
其,4,43,0,0,0,0,0
缡,4,44,0,0,0,0,0
,,,,,,,
九,4,46,0,0,0,0,0
十,4,47,0,0,0,0,0
其,4,48,0,0,0,0,0
仪,4,49,0,0,0,0,0
,,,,,,,
其,4,51,0,0,0,0,0
新,4,52,0,0,0,0,0
孔,4,53,0,0,0,0,0
嘉,4,54,0,0,0,0,0
,,,,,,,
其,4,56,0,0,0,0,0
旧,4,57,0,0,0,0,0
如,4,58,0,0,0,0,0
之,4,59,0,0,0,0,0
何,4,60,0,0,0,0,0
