font,pcol,prow,lcol,lrow,seq,cross,color 
伐,1,1,2,1,0,0,1
柯,1,2,2,2,0,0,1
如,1,3,2,3,0,0,1
何,1,4,2,4,1,0,2
,,,,,,,
匪,1,6,0,0,0,0,0
斧,1,7,0,0,0,0,0
不,1,8,0,0,0,0,0
克,1,9,0,0,0,0,0
,,,,,,,
取,1,11,0,0,0,0,0
妻,1,12,0,0,0,0,0
如,1,13,0,0,0,0,0
何,1,14,0,0,0,0,0
,,,,,,,
匪,1,16,0,0,0,0,0
媒,1,17,0,0,0,0,0
不,1,18,0,0,0,0,0
得,1,19,0,0,0,0,0
,,,,,,,
伐,2,1,0,0,0,0,1
柯,2,2,0,0,0,0,1
伐,2,3,0,0,0,0,1
柯,2,4,0,0,0,0,2
,,,,,,,
其,2,6,0,0,0,0,0
则,2,7,0,0,0,0,0
不,2,8,0,0,0,0,0
远,2,9,0,0,0,0,0
,,,,,,,
我,2,11,0,0,0,0,0
觏,2,12,0,0,0,0,0
之,2,13,0,0,0,0,0
子,2,14,0,0,0,0,0
,,,,,,,
笾,2,16,0,0,0,0,0
豆,2,17,0,0,0,0,0
有,2,18,0,0,0,0,0
践,2,19,0,0,0,0,0
