font,pcol,prow,lcol,lrow,seq,cross
伐,1,1,2,1,0,0
木,1,2,2,2,0,0
丁,1,3,2,3,1,0
丁,1,4,2,4,1,0
,1,5,,,,
鸟,1,6,0,0,0,0
鸣,1,7,0,0,0,0
嘤,1,8,0,0,0,0
嘤,1,9,0,0,0,0
,1,10,0,0,0,0
出,1,11,0,0,0,0
自,1,12,0,0,0,0
幽,1,13,0,0,0,0
谷,1,14,0,0,0,0
,1,15,0,0,0,0
迁,1,16,0,0,0,0
于,1,17,0,0,0,0
乔,1,18,0,0,0,0
木,1,19,0,0,0,0
,1,20,0,0,0,0
嘤,1,21,0,0,0,0
其,1,22,0,0,0,0
鸣,1,23,0,0,0,0
矣,1,24,0,0,0,0
,1,25,0,0,0,0
求,1,26,0,0,0,0
其,1,27,0,0,0,0
友,1,28,0,0,0,0
声,1,29,0,0,0,0
,1,30,0,0,0,0
相,1,31,0,0,0,0
彼,1,32,0,0,0,0
鸟,1,33,0,0,0,0
矣,1,34,0,0,0,0
,1,35,0,0,0,0
犹,1,36,0,0,0,0
求,1,37,0,0,0,0
友,1,38,0,0,0,0
声,1,39,0,0,0,0
,1,40,0,0,0,0
矧,1,41,0,0,0,0
伊,1,42,0,0,0,0
人,1,43,0,0,0,0
矣,1,44,0,0,0,0
,1,45,0,0,0,0
不,1,46,0,0,0,0
求,1,47,0,0,0,0
友,1,48,0,0,0,0
生,1,49,0,0,0,0
,1,50,0,0,0,0
神,1,51,0,0,0,0
之,1,52,0,0,0,0
听,1,53,0,0,0,0
之,1,54,0,0,0,0
,1,55,0,0,0,0
终,1,56,0,0,0,0
和,1,57,0,0,0,0
且,1,58,0,0,0,0
平,1,59,0,0,0,0
,,,,,,
伐,2,1,3,1,0,0
木,2,2,3,2,0,0
许,2,3,3,3,2,0
许,2,4,3,4,2,0
,2,5,3,5,0,0
酾,2,6,3,6,0,0
酒,2,7,3,7,0,0
有,2,8,3,8,0,0
藇,2,9,3,9,1,0
,2,10,,,,
既,2,11,0,0,0,0
有,2,12,0,0,0,0
肥,2,13,0,0,0,0
羜,2,14,0,0,0,0
,2,15,0,0,0,0
以,2,16,0,0,0,0
速,2,17,0,0,0,0
诸,2,18,0,0,0,0
父,2,19,0,0,0,0
,2,20,0,0,0,0
宁,2,21,0,0,0,0
适,2,22,0,0,0,0
不,2,23,0,0,0,0
来,2,24,0,0,0,0
,2,25,0,0,0,0
微,2,26,0,0,0,0
我,2,27,0,0,0,0
弗,2,28,0,0,0,0
顾,2,29,0,0,0,0
,2,30,0,0,0,0
於,2,31,0,0,0,0
粲,2,32,0,0,0,0
洒,2,33,0,0,0,0
扫,2,34,0,0,0,0
,2,35,0,0,0,0
陈,2,36,0,0,0,0
馈,2,37,0,0,0,0
八,2,38,0,0,0,0
簋,2,39,0,0,0,0
,2,40,0,0,0,0
既,2,41,0,0,0,0
有,2,42,0,0,0,0
肥,2,43,0,0,0,0
牡,2,44,0,0,0,0
,2,45,0,0,0,0
以,2,46,0,0,0,0
速,2,47,0,0,0,0
诸,2,48,0,0,0,0
舅,2,49,0,0,0,0
,2,50,0,0,0,0
宁,2,51,0,0,0,0
适,2,52,0,0,0,0
不,2,53,0,0,0,0
来,2,54,0,0,0,0
,2,55,0,0,0,0
微,2,56,0,0,0,0
我,2,57,0,0,0,0
有,2,58,0,0,0,0
咎,2,59,0,0,0,0
,,,,,,
伐,3,1,0,0,0,0
木,3,2,0,0,0,0
于,3,3,0,0,3,0
阪,3,4,0,0,3,0
,3,5,0,0,,0
酾,3,6,0,0,0,0
酒,3,7,0,0,0,0
有,3,8,0,0,0,0
衍,3,9,0,0,2,0
,3,10,0,0,0,0
笾,3,11,0,0,0,0
豆,3,12,0,0,0,0
有,3,13,0,0,0,0
践,3,14,0,0,0,0
,3,15,0,0,0,0
兄,3,16,0,0,0,0
弟,3,17,0,0,0,0
无,3,18,0,0,0,0
远,3,19,0,0,0,0
,3,20,0,0,0,0
民,3,21,0,0,0,0
之,3,22,0,0,0,0
失,3,23,0,0,0,0
德,3,24,0,0,0,0
,3,25,0,0,0,0
乾,3,26,0,0,0,0
餱,3,27,0,0,0,0
以,3,28,0,0,0,0
愆,3,29,0,0,0,0
,3,30,0,0,0,0
有,3,31,0,0,0,0
酒,3,32,0,0,0,0
湑,3,33,0,0,0,0
我,3,34,0,0,0,0
,3,35,0,0,0,0
无,3,36,0,0,0,0
酒,3,37,0,0,0,0
酤,3,38,0,0,0,0
我,3,39,0,0,0,0
,3,40,0,0,0,0
坎,3,41,0,0,0,0
坎,3,42,0,0,0,0
鼓,3,43,0,0,0,0
我,3,44,0,0,0,0
,3,45,0,0,0,0
蹲,3,46,0,0,0,0
蹲,3,47,0,0,0,0
舞,3,48,0,0,0,0
我,3,49,0,0,0,0
,3,50,0,0,0,0
迨,3,51,0,0,0,0
我,3,52,0,0,0,0
暇,3,53,0,0,0,0
矣,3,54,0,0,0,0
,3,55,0,0,0,0
饮,3,56,0,0,0,0
此,3,57,0,0,0,0
湑,3,58,0,0,0,0
矣,3,59,0,0,0,0
