font,pcol,prow,lcol,lrow,seq,cross,color
采,1,1,2,1,0,0,1
采,1,2,2,2,0,0,1
芣,1,3,2,3,0,0,1
苢,1,4,2,4,0,0,1
,,,,,,,
薄,1,6,2,6,0,0,1
言,1,7,2,7,0,0,1
采,1,8,2,8,1,0,2
之,1,9,2,9,0,0,1
,,,,,,,
采,1,11,2,11,0,0,1
采,1,12,2,12,0,0,1
芣,1,13,2,13,0,0,1
苢,1,14,2,14,0,0,1
,,,,,,,
薄,1,16,2,16,0,0,1
言,1,17,2,17,0,0,1
有,1,18,2,18,1,0,2
之,1,19,2,19,0,0,1
,,,,,,,
采,2,1,3,1,0,0,1
采,2,2,3,2,0,0,1
芣,2,3,3,3,0,0,1
苢,2,4,3,4,0,0,1
,,,,,,,
薄,2,6,3,6,0,0,1
言,2,7,3,7,0,0,1
掇,2,8,3,8,2,0,2
之,2,9,3,9,0,0,1
,,,,,,,
采,2,11,3,11,0,0,1
采,2,12,3,12,0,0,1
芣,2,13,3,13,0,0,1
苢,2,14,3,14,0,0,1
,,,,,,,
薄,2,16,3,16,0,0,1
言,2,17,3,17,0,0,1
捋,2,18,3,18,2,0,2
之,2,19,3,19,0,0,1
,,,,,,,
采,3,1,0,0,0,0,1
采,3,2,0,0,0,0,1
芣,3,3,0,0,0,0,1
苢,3,4,0,0,0,0,1
,,,,,,,
薄,3,6,0,0,0,0,1
言,3,7,0,0,0,0,1
袺,3,8,0,0,3,0,2
之,3,9,0,0,0,0,1
,,,,,,,
采,3,11,0,0,0,0,1
采,3,12,0,0,0,0,1
芣,3,13,0,0,0,0,1
苢,3,14,0,0,0,0,1
,,,,,,,
薄,3,16,0,0,0,0,1
言,3,17,0,0,0,0,1
擷,3,18,0,0,3,0,2
之,3,19,0,0,0,0,1
