font,pcol,prow,lcol,lrow,seq,cross
蔽,1,1,2,1,0,0
芾,1,2,2,2,0,0
甘,1,3,2,3,0,0
棠,1,4,2,4,0,0
,,,,,,
勿,1,6,2,6,0,0
剪,1,7,2,7,0,0
勿,1,8,2,8,0,0
伐,1,9,2,9,1,0
,,,,,,
召,1,11,2,11,0,0
伯,1,12,2,12,0,0
所,1,13,2,13,0,0
茏,1,14,2,14,1,0
,,,,,,
蔽,2,1,3,1,0,0
芾,2,2,3,2,0,0
甘,2,3,3,3,0,0
棠,2,4,3,4,0,0
,,,,,,
勿,2,6,3,6,0,0
剪,2,7,3,7,0,0
勿,2,8,3,8,0,0
败,2,9,3,9,2,0
,,,,,,
召,2,11,3,11,0,0
伯,2,12,3,12,0,0
所,2,13,3,13,0,0
憩,2,14,3,14,2,0
,,,,,,
蔽,3,1,0,0,0,0
芾,3,2,0,0,0,0
甘,3,3,0,0,0,0
棠,3,4,0,0,0,0
,,,,,,
勿,3,6,0,0,0,0
剪,3,7,0,0,0,0
勿,3,8,0,0,0,0
拜,3,9,0,0,0,0
,,,,,,
召,3,11,0,0,0,0
伯,3,12,0,0,0,0
所,3,13,0,0,0,0
说,3,14,0,0,0,0
