font,pcol,prow,lcol,lrow,seq,cross,color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羔,1,1,2,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
裘,1,2,2,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
豹,1,3,2,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
祛,1,4,2,4,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自,1,6,2,6,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,1,7,2,7,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人,1,8,2,8,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
居,1,9,2,9,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
居,1,10,2,10,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岂,1,12,2,12,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无,1,13,2,13,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
他,1,14,2,14,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人,1,15,2,15,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
维,1,17,2,17,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
子,1,18,2,18,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之,1,19,2,19,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
故,1,20,2,20,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羔,2,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
裘,2,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
豹,2,3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
褎,2,4,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自,2,6,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,2,7,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人,2,8,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
究,2,9,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
究,2,10,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岂,2,12,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无,2,13,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
他,2,14,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人,2,15,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
维,2,17,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
子,2,18,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之,2,19,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好,2,20,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
