font,pcol,prow,lcol,lrow,seq,cross
羔,1,1,2,1,0,0
羊,1,2,2,2,0,0
之,1,3,2,3,0,0
皮,1,4,2,4,1,0
,,,,,,
素,1,6,2,6,0,0
丝,1,7,2,7,0,0
五,1,8,2,8,0,0
紽,1,9,2,9,1,0
,,,,,,
退,1,11,2,16,0,1
食,1,12,2,17,0,1
自,1,13,2,18,0,1
公,1,14,2,19,0,1
,,,,,,
委,1,16,2,11,0,1
蛇,1,17,2,12,0,1
委,1,18,2,13,0,1
蛇,1,19,2,14,0,1
,,,,,,
羔,2,1,3,1,0,0
羊,2,2,3,2,0,0
之,2,3,3,3,0,0
革,2,4,3,4,2,0
,,,,,,
素,2,6,3,6,0,0
丝,2,7,3,7,0,0
五,2,8,3,8,0,0
緎,2,9,3,9,2,0
,,,,,,
委,2,11,3,11,0,0
蛇,2,12,3,12,0,0
委,2,13,3,13,0,0
蛇,2,14,3,14,0,0
,,,,,,
自,2,16,3,18,0,1
公,2,17,3,19,0,1
退,2,18,3,16,0,1
食,2,19,3,17,0,1
,,,,,,
羔,3,1,0,0,0,0
羊,3,2,0,0,0,0
之,3,3,0,0,0,0
缝,3,4,0,0,0,0
,,,,,,
素,3,6,0,0,0,0
丝,3,7,0,0,0,0
五,3,8,0,0,0,0
总,3,9,0,0,0,0
,,,,,,
委,3,11,0,0,0,0
蛇,3,12,0,0,0,0
委,3,13,0,0,0,0
蛇,3,14,0,0,0,0
,,,,,,
退,3,16,0,0,0,0
食,3,17,0,0,0,0
自,3,18,0,0,0,0
公,3,19,0,0,0,0
