font,pcol,prow,lcol,lrow,seq,cross,color
葛,1,1,3,1,0,0,1
之,1,2,3,2,0,0,1
覃,1,3,3,3,0,0,1
兮,1,4,3,4,0,0,1
,1,5,0,0,0,0,0
施,1,6,3,6,0,0,1
于,1,7,3,7,0,0,1
中,1,8,3,8,0,0,1
谷,1,9,3,9,0,0,1
,1,10,0,0,0,0,0
维,1,11,3,11,0,0,1
叶,1,12,3,12,0,0,1
萋,1,13,3,13,1,0,2
萋,1,14,3,14,1,0,2
,1,15,0,0,0,0,0
黄,2,1,0,0,0,0,0
鸟,2,2,0,0,0,0,0
于,2,3,0,0,0,0,0
飞,2,4,0,0,0,0,0
,2,5,0,0,0,0,0
集,2,6,0,0,0,0,0
于,2,7,0,0,0,0,0
灌,2,8,0,0,0,0,0
木,2,9,0,0,0,0,0
,2,10,0,0,0,0,0
其,2,11,0,0,0,0,0
鸣,2,12,0,0,0,0,0
喈,2,13,0,0,0,0,0
喈,2,14,0,0,0,0,0
,2,15,0,0,0,0,0
葛,3,1,0,0,0,0,1
之,3,2,0,0,0,0,1
覃,3,3,0,0,0,0,1
兮,3,4,0,0,0,0,1
,3,5,0,0,0,0,0
施,3,6,0,0,0,0,1
于,3,7,0,0,0,0,1
中,3,8,0,0,0,0,1
谷,3,9,0,0,0,0,1
,3,10,0,0,0,0,0
维,3,11,0,0,0,0,1
叶,3,12,0,0,0,0,1
莫,3,13,0,0,0,0,2
莫,3,14,0,0,0,0,2
,3,15,0,0,0,0,0
是,4,1,0,0,0,0,0
刈,4,2,0,0,0,0,0
是,4,3,0,0,0,0,0
濩,4,4,0,0,0,0,0
,4,5,0,0,0,0,0
为,4,6,0,0,0,0,0
絺,4,7,0,0,0,0,0
为,4,8,0,0,0,0,0
绤,4,9,0,0,0,0,0
,4,10,0,0,0,0,0
服,4,11,0,0,0,0,0
之,4,12,0,0,0,0,0
无,4,13,0,0,0,0,0
斁,4,14,0,0,0,0,0
,4,15,0,0,0,0,0
言,5,1,0,0,0,0,0
告,5,2,0,0,0,0,0
师,5,3,0,0,0,0,0
氏,5,4,0,0,0,0,0
,5,5,0,0,0,0,0
言,5,6,0,0,0,0,0
告,5,7,0,0,0,0,0
言,5,8,0,0,0,0,0
归,5,9,0,0,0,0,0
,5,10,0,0,0,0,0
薄,5,11,0,0,0,0,0
污,5,12,0,0,0,0,0
我,5,13,0,0,0,0,0
私,5,14,0,0,0,0,0
,5,15,0,0,0,0,0
薄,6,1,0,0,0,0,0
浣,6,2,0,0,0,0,0
我,6,3,0,0,0,0,0
衣,6,4,0,0,0,0,0
,6,5,0,0,0,0,0
害,6,6,0,0,0,0,0
浣,6,7,0,0,0,0,0
害,6,8,0,0,0,0,0
否,6,9,0,0,0,0,0
,6,10,0,0,0,0,0
归,6,11,0,0,0,0,0
宁,6,12,0,0,0,0,0
父,6,13,0,0,0,0,0
母,6,14,0,0,0,0,0
,6,15,0,0,0,0,0
