font,pcol,prow,lcol,lrow,seq,cross,color
关,1,1,0,0,0,0,0
关,1,2,0,0,0,0,0
雎,1,3,0,0,0,0,0
鸠,1,4,0,0,0,0,0
,,,,,,,
在,1,6,0,0,0,0,0
河,1,7,0,0,0,0,0
之,1,8,0,0,0,0,0
洲,1,9,0,0,0,0,0
,,,,,,,
窈,1,11,2,11,0,0,1
窕,1,12,2,12,0,0,1
淑,1,13,2,13,0,0,1
女,1,14,2,14,0,0,1
,,,,,,,
君,1,16,0,0,0,0,0
子,1,17,0,0,0,0,0
好,1,18,0,0,0,0,0
逑,1,19,0,0,0,0,0
,,,,,,,
参,2,1,4,1,0,0,1
差,2,2,4,2,0,0,1
荇,2,3,4,3,0,0,1
菜,2,4,4,4,0,0,1
,,,,,,,
左,2,6,4,6,0,0,1
右,2,7,4,7,0,0,1
流,2,8,4,8,1,0,2
之,2,9,4,9,0,0,1
,,,,,,,
窈,2,11,4,11,0,0,1
窕,2,12,4,12,0,0,1
淑,2,13,4,13,0,0,1
女,2,14,4,14,0,0,1
,,,,,,,
寤,2,16,4,16,1,0,2
寐,2,17,4,17,1,0,2
求,2,18,4,18,1,0,2
之,2,19,4,19,0,0,1
,,,,,,,
求,3,1,0,0,0,0,0
之,3,2,0,0,0,0,0
不,3,3,0,0,0,0,0
得,3,4,0,0,0,0,0
,,,,,,,
寤,3,6,0,0,0,0,0
寐,3,7,0,0,0,0,0
思,3,8,0,0,0,0,0
服,3,9,0,0,0,0,0
,,,,,,,
悠,3,11,0,0,0,0,0
哉,3,12,0,0,0,0,0
悠,3,13,0,0,0,0,0
哉,3,14,0,0,0,0,0
,,,,,,,
辗,3,16,0,0,0,0,0
转,3,17,0,0,0,0,0
反,3,18,0,0,0,0,0
侧,3,19,0,0,0,0,0
,,,,,,,
参,4,1,5,1,0,0,1
差,4,2,5,2,0,0,1
荇,4,3,5,3,0,0,1
菜,4,4,5,4,0,0,1
,,,,,,,
左,4,6,5,6,0,0,1
右,4,7,5,7,0,0,1
采,4,8,5,8,2,0,2
之,4,9,5,9,0,0,1
,,,,,,,
窈,4,11,5,11,0,0,1
窕,4,12,5,12,0,0,1
淑,4,13,5,13,0,0,1
女,4,14,5,14,0,0,1
,,,,,,,
琴,4,16,5,16,2,0,2
瑟,4,17,5,17,2,0,2
友,4,18,5,18,2,0,2
之,4,19,5,19,0,0,1
,,,,,,,
参,5,1,0,0,0,0,1
差,5,2,0,0,0,0,1
荇,5,3,0,0,0,0,1
菜,5,4,0,0,0,0,1
,,,,,,,
左,5,6,0,0,0,0,1
右,5,7,0,0,0,0,1
芼,5,8,0,0,0,0,2
之,5,9,0,0,0,0,1
,,,,,,,
窈,5,11,0,0,0,0,1
窕,5,12,0,0,0,0,1
淑,5,13,0,0,0,0,1
女,5,14,0,0,0,0,1
,,,,,,,
钟,5,16,0,0,0,0,2
鼓,5,17,0,0,0,0,2
乐,5,18,0,0,0,0,2
之,5,19,0,0,0,0,1
