font,pcol,prow,lcol,lrow,seq,cross,color
南,1,1,0,0,0,0,0
有,1,2,0,0,0,0,0
乔,1,3,0,0,0,0,0
木,1,4,0,0,0,0,0
,,,,,,,
不,1,6,0,0,0,0,0
可,1,7,0,0,0,0,0
休,1,8,0,0,0,0,0
息,1,9,0,0,0,0,0
,,,,,,,
汉,1,11,0,0,0,0,0
有,1,12,0,0,0,0,0
游,1,13,0,0,0,0,0
女,1,14,0,0,0,0,0
,,,,,,,
不,1,16,0,0,0,0,0
可,1,17,0,0,0,0,0
求,1,18,0,0,0,0,0
思,1,19,0,0,0,0,0
,,,,,,,
汉,1,21,2,21,0,0,1
之,1,22,2,22,0,0,1
广,1,23,2,23,0,0,1
矣,1,24,2,24,0,0,1
,,,,,,,
不,1,26,2,26,0,0,1
可,1,27,2,27,0,0,1
泳,1,28,2,28,0,0,1
思,1,29,2,29,0,0,1
,,,,,,,
江,1,31,2,31,0,0,1
之,1,32,2,32,0,0,1
永,1,33,2,33,0,0,1
矣,1,34,2,34,0,0,
,,,,,,,
不,1,36,2,36,0,0,1
可,1,37,2,37,0,0,1
方,1,38,2,38,0,0,1
思,1,39,2,39,0,0,1
,,,,,,,
翘,2,1,3,1,0,0,1
翘,2,2,3,2,0,0,1
错,2,3,3,3,0,0,1
薪,2,4,3,4,0,0,1
,,,,,,,
言,2,6,3,6,0,0,1
刈,2,7,3,7,0,0,1
其,2,8,3,8,0,0,1
楚,2,9,3,9,1,0,2
,,,,,,,
之,2,11,3,11,0,0,1
子,2,12,3,12,0,0,1
于,2,13,3,13,0,0,1
归,2,14,3,14,0,0,1
,,,,,,,
言,2,16,3,16,0,0,1
秣,2,17,3,17,0,0,1
其,2,18,3,18,0,0,1
马,2,19,3,19,1,0,2
,,,,,,,
汉,2,21,3,21,0,0,1
之,2,22,3,22,0,0,1
广,2,23,3,23,0,0,1
矣,2,24,3,24,0,0,1
,,,,,,,
不,2,26,3,26,0,0,1
可,2,27,3,27,0,0,1
泳,2,28,3,28,0,0,1
思,2,29,3,29,0,0,1
,,,,,,,
江,2,31,3,31,0,0,1
之,2,32,3,32,0,0,1
永,2,33,3,33,0,0,1
矣,2,34,3,34,0,0,1
,,,,,,,
不,2,36,3,36,0,0,1
可,2,37,3,37,0,0,1
方,2,38,3,38,0,0,1
思,2,39,3,39,0,0,1
,,,,,,,
翘,3,1,0,1,0,0,1
翘,3,2,0,2,0,0,1
错,3,3,0,3,0,0,1
薪,3,4,0,4,0,0,1
,,,,,,,
言,3,6,0,6,0,0,1
刈,3,7,0,7,0,0,1
其,3,8,0,8,0,0,1
蒌,3,9,0,9,2,0,2
,,,,,,,
之,3,11,0,11,0,0,1
子,3,12,0,12,0,0,1
于,3,13,0,13,0,0,1
归,3,14,0,14,0,0,1
,,,,,,,
言,3,16,0,16,0,0,1
秣,3,17,0,17,0,0,1
其,3,18,0,18,0,0,1
驹,3,19,0,19,2,0,2
,,,,,,,
汉,3,21,0,21,0,0,1
之,3,22,0,22,0,0,1
广,3,23,0,23,0,0,1
矣,3,24,0,24,0,0,1
,,,,,,,
不,3,26,0,26,0,0,1
可,3,27,0,27,0,0,1
泳,3,28,0,28,0,0,1
思,3,29,0,29,0,0,1
,,,,,,,
江,3,31,0,31,0,0,1
之,3,32,0,32,0,0,1
永,3,33,0,33,0,0,1
矣,3,34,0,34,0,0,1
,,,,,,,
不,3,36,0,36,0,0,1
可,3,37,0,37,0,0,1
方,3,38,0,38,0,0,1
思,3,39,0,39,0,0,1
