font,pcol,prow,lcol,lrow,seq,cross
何,1,1,2,1,0,0
彼,1,2,2,2,0,0
襛,1,3,2,3,0,0
矣,1,4,2,4,0,0
,,,,,,
唐,1,6,0,0,0,0
棣,1,7,0,0,0,0
之,1,8,0,0,0,0
华,1,9,0,0,0,0
,,,,,,
曷,1,11,0,0,0,0
不,1,12,0,0,0,0
肃,1,13,0,0,0,0
雍,1,14,0,0,0,0
,,,,,,
王,1,16,0,0,0,0
姬,1,17,0,0,0,0
之,1,18,0,0,0,0
车,1,19,0,0,0,0
,,,,,,
何,2,1,0,0,0,0
彼,2,2,0,0,0,0
襛,2,3,0,0,0,0
矣,2,4,0,0,0,0
,,,,,,
华,2,6,0,0,0,0
如,2,7,0,0,0,0
桃,2,8,0,0,0,0
李,2,9,0,0,0,0
,,,,,,
平,2,11,3,16,0,1
王,2,12,3,17,0,1
之,2,13,3,18,0,1
孙,2,14,3,19,0,1
,,,,,,
齐,2,16,3,11,0,1
侯,2,17,3,12,0,1
之,2,18,3,13,0,1
子,2,19,3,14,0,1
,,,,,,
其,3,1,0,0,0,0
钓,3,2,0,0,0,0
维,3,3,0,0,0,0
何,3,4,0,0,0,0
,,,,,,
维,3,6,0,0,0,0
丝,3,7,0,0,0,0
伊,3,8,0,0,0,0
缗,3,9,0,0,0,0
,,,,,,
齐,3,11,0,0,0,0
侯,3,12,0,0,0,0
之,3,13,0,0,0,0
子,3,14,0,0,0,0
,,,,,,
平,3,16,0,0,0,0
王,3,17,0,0,0,0
之,3,18,0,0,0,0
孙,3,19,0,0,0,0
