font,pcol,prow,lcol,lrow,seq,cross
皇,1,1,0,0,0,0
皇,1,2,0,0,0,0
者,1,3,0,0,0,0
华,1,4,0,0,0,0
,,,,,,
于,1,6,0,0,0,0
彼,1,7,0,0,0,0
原,1,8,0,0,0,0
隰,1,9,0,0,0,0
,,,,,,
駪,1,11,0,0,0,0
駪,1,12,0,0,0,0
征,1,13,0,0,0,0
夫,1,14,0,0,0,0
,,,,,,
每,1,16,0,0,0,0
怀,1,17,0,0,0,0
靡,1,18,0,0,0,0
及,1,19,0,0,0,0
,,,,,,
我,2,1,3,1,0,0
马,2,2,3,2,0,0
维,2,3,3,3,0,0
驹,2,4,3,4,1,0
,,,,,,
六,2,6,3,6,0,0
辔,2,7,3,7,0,0
如,2,8,3,8,0,0
濡,2,9,3,9,1,0
,,,,,,
载,2,11,3,11,0,0
驰,2,12,3,12,0,0
载,2,13,3,13,0,0
驱,2,14,3,14,0,0
,,,,,,
周,2,16,3,16,0,0
爰,2,17,3,17,0,0
咨,2,18,3,18,0,0
诹,2,19,3,19,1,0
,,,,,,
我,3,1,4,1,0,0
马,3,2,4,2,0,0
维,3,3,4,3,0,0
骐,3,4,4,4,2,0
,,,,,,
六,3,6,4,6,0,0
辔,3,7,4,7,0,0
如,3,8,4,8,0,0
丝,3,9,4,9,2,0
,,,,,,
载,3,11,4,11,0,0
驰,3,12,4,12,0,0
载,3,13,4,13,0,0
驱,3,14,4,14,0,0
,,,,,,
周,3,16,4,16,,0
爰,3,17,4,17,0,0
咨,3,18,4,18,0,0
谋,3,19,4,19,2,0
,,,,,,
我,4,1,5,1,0,0
马,4,2,5,2,0,0
维,4,3,5,3,0,0
骆,4,4,5,4,3,0
,,,,,,
六,4,6,5,6,0,0
辔,4,7,5,7,0,0
沃,4,8,5,8,1,0
若,4,9,5,9,3,0
,,,,,,
载,4,11,5,11,0,0
驰,4,12,5,12,0,0
载,4,13,5,13,0,0
驱,4,14,5,14,0,0
,,,,,,
周,4,16,5,16,0,0
爰,4,17,5,17,0,0
咨,4,18,5,18,0,0
度,4,19,5,19,3,0
,,,,,,
我,5,1,0,0,0,0
马,5,2,0,0,0,0
维,5,3,0,0,0,0
骃,5,4,0,0,4,0
,,,,,,
六,5,6,0,0,0,0
辔,5,7,0,0,0,0
既,5,8,0,0,2,0
均,5,9,0,0,4,0
,,,,,,
载,5,11,0,0,0,0
驰,5,12,0,0,0,0
载,5,13,0,0,0,0
驱,5,14,0,0,0,0
,,,,,,
周,5,16,0,0,0,0
爰,5,17,0,0,0,0
咨,5,18,0,0,0,0
询,5,19,0,0,4,0
