font,pcol,prow,lcol,lrow,seq,cross
江,1,1,2,1,0,0
有,1,2,2,2,0,0
汜,1,3,2,3,1,0
,,,,,,
之,1,5,2,5,0,0
子,1,6,2,6,0,0
归,1,7,2,7,0,0
,,,,,,
不,1,9,2,9,0,0
我,1,10,2,10,0,0
以,1,11,2,11,1,0
,,,,,,
不,1,13,2,13,0,0
我,1,14,2,14,0,0
以,1,15,2,15,1,0
,,,,,,
其,1,17,2,17,0,0
后,1,18,2,18,0,0
也,1,19,2,19,0,0
悔,1,20,2,20,1,0
,,,,,,
江,2,1,3,1,0,0
有,2,2,3,2,0,0
渚,2,3,3,3,2,0
,,,,,,
之,2,5,3,5,0,0
子,2,6,3,6,0,0
归,2,7,3,7,0,0
,,,,,,
不,2,9,3,9,0,0
我,2,10,3,10,0,0
与,2,11,3,11,2,0
,,,,,,
不,2,13,3,13,0,0
我,2,14,3,14,0,0
与,2,15,3,15,2,0
,,,,,,
其,2,17,3,17,0,0
后,2,18,3,18,0,0
也,2,19,3,19,0,0
处,2,20,3,20,2,0
,,,,,,
江,3,1,0,0,0,0
有,3,2,0,0,0,0
沱,3,3,0,0,0,0
,,,,,,
之,3,5,0,0,0,0
子,3,6,0,0,0,0
归,3,7,0,0,0,0
,,,,,,
不,3,9,0,0,0,0
我,3,10,0,0,0,0
过,3,11,0,0,0,0
,,,,,,
不,3,13,0,0,0,0
我,3,14,0,0,0,0
过,3,15,0,0,0,0
,,,,,,
其,3,17,0,0,0,0
啸,3,18,0,0,0,0
也,3,19,0,0,0,0
歌,3,20,0,0,0,0
