font,pcol,prow,lcol,lrow,seq,cross,color,,,
椒,1,1,2,1,0,0,1,,,
聊,1,2,2,2,0,0,1,,,
之,1,3,2,3,0,0,1,,,
实,1,4,2,4,0,0,1,,,
,,,,,,,,,,
蕃,1,6,2,6,0,0,1,,,
衍,1,7,2,7,0,0,1,,,
盈,1,8,2,8,0,0,1,,,
升,1,9,2,9,1,0,2,,,
,,,,,,,,,,
彼,1,11,2,11,0,0,1,,,
其,1,12,2,12,0,0,1,,,
之,1,13,2,13,0,0,1,,,
子,1,14,2,14,0,0,1,,,
,,,,,,,,,,
硕,1,16,2,16,0,0,1,,,
大,1,17,2,17,0,0,1,,,s
无,1,18,2,18,1,0,2,,,
朋,1,19,2,19,1,0,2,,,
,,,,,,,,,,
椒,1,21,2,21,0,0,1,,,
聊,1,22,2,22,0,0,1,,,
且,1,23,2,23,0,0,1,,,
,,,,,,,,,,
远,1,25,2,25,0,0,1,,,
条,1,26,2,26,0,0,1,,,
且,1,27,2,27,0,0,1,,,
,,,,,,,,,,
椒,2,1,0,0,0,0,1,,,
聊,2,2,0,0,0,0,1,,,
之,2,3,0,0,0,0,1,,,
实,2,4,0,0,0,0,1,,,
,,,,,,,,,,
蕃,2,6,0,0,0,0,1,,,
衍,2,7,0,0,0,0,1,,,
盈,2,8,0,0,0,0,1,,,
匊,2,9,0,0,0,0,2,,,
,,,,,,,,,,
彼,2,11,0,0,0,0,1,,,
其,2,12,0,0,0,0,1,,,
之,2,13,0,0,0,0,1,,,
子,2,14,0,0,0,0,1,,,
,,,,,,,,,,
硕,2,16,0,0,0,0,1,,,
大,2,17,0,0,0,0,1,,,
且,2,18,0,0,0,0,2,,,
笃,2,19,0,0,0,0,2,,,
,,,,,,,,,,
椒,2,21,0,0,0,0,1,,,
聊,2,22,0,0,0,0,1,,,
且,2,23,0,0,0,0,1,,,
,,,,,,,,,,
远,2,25,0,0,0,0,1,,,
条,2,26,0,0,0,0,1,,,
且,2,27,0,0,0,0,1,,,
