font,pcol,prow,lcol,lrow,seq,cross,color
南,1,1,2,1,0,0,1
有,1,2,2,2,0,0,1
樛,1,3,2,3,0,0,1
木,1,4,2,4,0,0,1
,,,,,,,
葛,1,6,2,6,0,0,1
藟,1,7,2,7,0,0,1
累,1,8,2,8,1,0,2
之,1,9,2,9,0,0,1
,,,,,,,
乐,1,11,2,11,0,0,1
只,1,12,2,12,0,0,1
君,1,13,2,13,0,0,1
子,1,14,2,14,0,0,1
,,,,,,,
福,1,16,2,16,0,0,1
履,1,17,2,17,0,0,1
绥,1,18,2,18,1,0,2
之,1,19,2,19,0,0,1
,,,,,,,
南,2,1,3,1,0,0,1
有,2,2,3,2,0,0,1
樛,2,3,3,3,0,0,1
木,2,4,3,4,0,0,1
,,,,,,,
葛,2,6,3,6,0,0,1
藟,2,7,3,7,0,0,1
荒,2,8,3,8,2,0,2
之,2,9,3,9,0,0,1
,,,,,,,
乐,2,11,3,11,0,0,1
只,2,12,3,12,0,0,1
君,2,13,3,13,0,0,1
子,2,14,3,14,0,0,1
,,,,,,,
福,2,16,3,16,0,0,1
履,2,17,3,17,0,0,1
将,2,18,3,18,2,0,2
之,2,19,3,19,0,0,1
,,,,,,,
南,3,1,0,0,0,0,1
有,3,2,0,0,0,0,1
樛,3,3,0,0,0,0,1
木,3,4,0,0,0,0,1
,,,,,,,
葛,3,6,0,0,0,0,1
藟,3,7,0,0,0,0,1
萦,3,8,0,0,3,0,2
之,3,9,0,0,0,0,1
,,,,,,,
乐,3,11,0,0,0,0,1
只,3,12,0,0,0,0,1
君,3,13,0,0,0,0,1
子,3,14,0,0,0,0,1
,,,,,,,
福,3,16,0,0,0,0,1
履,3,17,0,0,0,0,1
成,3,18,0,0,3,0,2
之,3,19,0,0,0,0,1
