font,pcol,prow,lcol,lrow,seq,cross,color
采,1,1,0,0,0,0,0
采,1,2,0,0,0,0,0
卷,1,3,0,0,0,0,0
耳,1,4,0,0,0,0,0
,,,,,,,
不,1,6,0,0,0,0,0
盈,1,7,0,0,0,0,0
顷,1,8,0,0,0,0,0
筐,1,9,0,0,0,0,0
,,,,,,,
嗟,1,11,0,0,0,0,0
我,1,12,0,0,0,0,0
怀,1,13,0,0,0,0,0
人,1,14,0,0,0,0,0
,,,,,,,
,,,,,,,
,,,,,,,
置,1,18,0,0,0,0,0
彼,1,19,0,0,0,0,0
周,1,20,0,0,0,0,0
行,1,21,0,0,0,0,0
,,,,,,,
陟,2,1,3,1,0,0,1
彼,2,2,3,2,0,0,1
崔,2,3,3,3,1,0,2
嵬,2,4,3,4,1,0,2
,,,,,,,
我,2,6,3,6,0,0,1
马,2,7,3,7,0,0,1
虺,2,8,3,8,1,0,2
隤,2,9,3,9,1,0,2
,,,,,,,
我,2,11,3,11,0,0,1
姑,2,12,3,12,0,0,1
酌,2,13,3,13,0,0,1
彼,2,14,3,14,0,0,1
金,2,15,3,15,1,0,2
罍,2,16,3,16,1,0,2
,,,,,,,
维,2,18,3,18,0,0,1
以,2,19,3,19,0,0,1
不,2,20,3,20,0,0,1
永,2,21,3,21,0,0,1
怀,2,22,3,22,1,0,2
,,,,,,,
陟,3,1,4,1,0,0,1
彼,3,2,4,2,0,0,1
高,3,3,4,3,2,0,2
冈,3,4,4,4,2,0,2
,,,,,,,
我,3,6,4,6,0,0,1
马,3,7,4,7,0,0,1
玄,3,8,4,8,2,0,2
黄,3,9,4,9,2,0,2
,,,,,,,
我,3,11,0,11,0,0,1
姑,3,12,0,12,0,0,1
酌,3,13,0,13,0,0,1
彼,3,14,0,14,0,0,1
兕,3,15,0,15,0,0,2
觥,3,16,0,16,0,0,2
,,,,,,,
维,3,18,0,18,0,0,1
以,3,19,0,19,0,0,1
不,3,20,0,20,0,0,1
永,3,21,0,21,0,0,1
伤,3,22,0,22,0,0,2
,,,,,,,
陟,4,1,0,0,0,0,1
彼,4,2,0,0,0,0,1
砠,4,3,0,0,0,0,2
矣,4,4,0,0,0,0,2
,,,,,,,
我,4,6,0,0,0,0,1
马,4,7,0,0,0,0,1
瘏,4,8,0,0,0,0,2
矣,4,9,0,0,0,0,2
,,,,,,,
我,4,11,0,0,0,0,0
仆,4,12,0,0,0,0,0
痡,4,13,0,0,0,0,0
矣,4,14,0,0,0,0,0
,,,,,,,
,,,,,,,
,,,,,,,
云,4,18,0,0,0,0,0
何,4,19,0,0,0,0,0
吁,4,20,0,0,0,0,0
矣,4,21,0,0,0,0,0
