font,pcol,prow,lcol,lrow,seq,cross,color,,,,,,,,,,,,,,,,,,,,,,,,,,,
狼,1,1,2,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
跋,1,2,2,2,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
其,1,3,2,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
胡,1,4,2,4,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
载,1,6,2,6,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,, 
疐,1,7,2,7,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
其,1,8,2,8,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
尾,1,9,2,9,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公,1,11,2,11,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
孙,1,12,2,12,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
硕,1,13,2,13,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
肤,1,14,2,14,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赤,1,16,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
舄,1,17,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
几,1,18,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
几,1,19,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
狼,2,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
疐,2,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
其,2,3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
尾,2,4,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
载,2,6,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
跋,2,7,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
其,2,8,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
胡,2,9,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公,2,11,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
孙,2,12,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
硕,2,13,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
肤,2,14,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德,2,16,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
音,2,17,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
不,2,18,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
瑕,2,19,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
