font,pcol,prow,lcol,lrow,seq,cross,color
麟,1,1,2,1,0,0,1
之,1,2,2,2,0,0,1
趾,1,3,2,3,1,0,2
,,,,,,,
振,1,5,2,5,0,0,1
振,1,6,2,6,0,0,1
公,1,7,2,7,0,0,1
子,1,8,2,8,1,0,2
,,,,,,,
于,1,10,2,10,0,0,1
嗟,1,11,2,11,0,0,1
麟,1,12,2,12,0,0,1
兮,1,13,2,13,0,0,1
,,,,,,,
麟,2,1,3,1,0,0,1
之,2,2,3,2,0,0,1
定,2,3,3,3,2,0,2
,,,,,,,
振,2,5,3,5,0,0,1
振,2,6,3,6,0,0,1
公,2,7,3,7,0,0,1
姓,2,8,3,8,2,0,2
,,,,,,,
于,2,10,3,10,0,0,1
嗟,2,11,3,11,0,0,1
麟,2,12,3,12,0,0,1
兮,2,13,3,13,0,0,1
,,,,,,,
麟,3,1,0,0,0,0,1
之,3,2,0,0,0,0,1
角,3,3,0,0,3,0,2
,,,,,,,
振,3,5,0,0,0,0,1
振,3,6,0,0,0,0,1
公,3,7,0,0,0,0,1
族,3,8,0,0,3,0,2
,,,,,,,
于,3,10,0,0,0,0,1
嗟,3,11,0,0,0,0,1
麟,3,12,0,0,0,0,1
兮,3,13,0,0,0,0,1
