font,pcol,prow,lcol,lrow,seq,cross,color,,,,,,,,,,,,,,,,,,,,,,,,,,
卢,1,1,2,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
令,1,2,2,2,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
令,1,3,2,3,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其,1,5,2,5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
人,1,6,2,6,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
美,1,7,2,7,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
且,1,8,2,8,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
仁,1,9,2,9,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卢,2,1,3,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
重,2,2,3,2,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,, 
环,2,3,3,3,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其,2,5,3,5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
人,2,6,3,6,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
美,2,7,3,7,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
且,2,8,3,8,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
鬈,2,9,3,9,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卢,3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
重,3,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
鋂,3,3,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其,3,5,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
人,3,6,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
美,3,7,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
且,3,8,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
偲,3,9,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
