font,pcol,prow,lcol,lrow,seq,cross
呦,1,1,2,1,0,0
呦,1,2,2,2,0,0
鹿,1,3,2,3,0,0
鸣,1,4,2,4,0,0
,,,,,,
食,1,6,2,6,0,0
野,1,7,2,7,0,0
之,1,8,2,8,0,0
苹,1,9,2,9,1,0
,,,,,,
我,1,11,2,11,0,0
有,1,12,2,12,,
嘉,1,13,2,13,0,0
宾,1,14,2,14,0,0
,,,,,,
鼓,1,16,3,16,0,0
瑟,1,17,3,17,0,0
吹,1,18,3,18,1,0
笙,1,19,3,19,1,0
,,,,,,
吹,1,21,3,21,1,0
笙,1,22,3,22,1,0
鼓,1,23,3,23,0,0
簧,1,24,3,24,0,0
,,,,,,
承,1,26,0,0,0,0
筐,1,27,0,0,0,0
是,1,28,0,0,0,0
将,1,29,0,0,0,0
,,,,,,
,,,,,,
,,,,,,
人,1,33,0,0,0,0
之,1,34,0,0,0,0
好,1,35,0,0,0,0
我,1,36,0,0,0,0
,,,,,,
示,1,38,0,0,0,0
我,1,39,0,0,0,0
周,1,40,0,0,0,0
行,1,41,0,0,0,0
,,,,,,
呦,2,1,3,1,0,0
呦,2,2,3,2,0,0
鹿,2,3,3,3,0,0
鸣,2,4,3,4,0,0
,,,,,,
食,2,6,3,6,0,0
野,2,7,3,7,0,0
之,2,8,3,8,0,0
蒿,2,9,3,9,2,0
,,,,,,
我,2,11,3,11,0,0
有,2,12,3,12,0,0
嘉,2,13,3,13,0,0
宾,2,14,3,14,0,0
,,,,,,
德,2,16,0,0,0,0
音,2,17,0,0,0,0
孔,2,18,0,0,0,0
昭,2,19,0,0,0,0
,,,,,,
视,2,21,0,0,0,0
民,2,22,0,0,0,0
不,2,23,0,0,0,0
恌,2,24,0,0,0,0
,,,,,,
君,2,26,0,0,0,0
子,2,27,0,0,0,0
是,2,28,0,0,0,0
则,2,29,0,0,0,0
是,2,30,0,0,0,0
效,2,31,0,0,0,0
,,,,,,
我,2,33,3,33,0,0
有,2,34,3,34,0,0
旨,2,35,3,35,0,0
酒,2,36,3,36,0,0
,,,,,,
嘉,2,38,0,0,0,0
宾,2,39,0,0,0,0
式,2,40,0,0,0,0
燕,2,41,0,0,0,0
以,2,42,0,0,0,0
敖,2,43,0,0,0,0
,,,,,,
呦,3,1,0,0,0,0
呦,3,2,0,0,0,0
鹿,3,3,0,0,0,0
鸣,3,4,0,0,0,0
,,,,,,
食,3,6,0,0,0,0
野,3,7,0,0,0,0
之,3,8,0,0,0,0
芩,3,9,0,0,3,0
,,,,,,
我,3,11,0,0,0,0
有,3,12,0,0,0,0
嘉,3,13,0,0,0,0
宾,3,14,0,0,0,0
,,,,,,
鼓,3,16,0,0,0,0
瑟,3,17,0,0,0,0
鼓,3,18,0,0,2,0
琴,3,19,0,0,2,0
,,,,,,
鼓,3,21,0,0,2,0
瑟,3,22,0,0,2,0
鼓,3,23,0,0,0,0
琴,3,24,0,0,2,0
,,,,,,
和,3,26,0,0,0,0
乐,3,27,0,0,0,0
且,3,28,0,0,0,0
湛,3,29,0,0,0,0
,,,,,,
,,,,,,
,,,,,,
我,3,33,0,0,0,0
有,3,34,0,0,0,0
旨,3,35,0,0,0,0
酒,3,36,0,0,0,0
,,,,,,
以,3,38,0,0,0,0
燕,3,39,0,0,0,0
乐,3,40,0,0,0,0
嘉,3,41,0,0,0,0
宾,3,42,0,0,0,0
之,3,43,0,0,0,0
心,3,44,0,0,0,0
