font,pcol,prow,lcol,lrow,seq,cross
绿,1,1,2,1,0,0
兮,1,2,2,2,0,0
衣,1,3,2,3,0,0
兮,1,4,2,4,0,0
,,,,,,
绿,1,6,2,6,0,0
衣,1,7,2,7,0,0
黄,1,8,2,8,0,0
裹,1,9,2,9,1,0
,,,,,,
心,1,11,2,11,0,0
之,1,12,2,12,0,0
忧,1,13,2,13,0,0
矣,1,14,2,14,0,0
,,,,,,
曷,1,16,2,16,0,0
维,1,17,2,17,0,0
其,1,18,2,18,0,0
已,1,19,2,19,1,0
,,,,,,
绿,2,1,3,1,0,0
兮,2,2,3,2,0,0
衣,2,3,3,3,1,0
兮,2,4,3,4,0,0
,,,,,,
绿,2,6,0,0,0,0
衣,2,7,0,0,0,0
黄,2,8,0,0,0,0
裳,2,9,0,0,0,0
,,,,,,
心,2,11,0,1,0,0
之,2,12,0,2,0,0
忧,2,13,0,3,0,0
矣,2,14,0,4,0,0
,,,,,,
曷,2,16,0,6,0,0
维,2,17,0,7,0,0
其,2,18,0,8,0,0
亡,2,19,0,9,0,0
,,,,,,
绿,3,1,4,1,2,0
兮,3,2,4,2,0,0
丝,3,3,4,3,2,0
兮,3,4,4,4,0,0
,,,,,,
女,3,6,0,16,0,0
所,3,7,0,17,0,0
治,3,8,0,18,0,0
兮,3,9,0,19,0,0
,,,,,,
我,3,11,4,11,0,0
思,3,12,4,12,0,0
古,3,13,4,13,0,0
人,3,14,4,14,0,0
,,,,,,
俾,3,16,0,0,0,0
无,3,17,0,0,0,0
訧,3,18,0,0,0,0
兮,3,19,0,0,0,0
,,,,,,
絺,4,1,0,0,0,0
兮,4,2,0,0,0,0
绤,4,3,0,0,0,0
兮,4,4,0,0,0,0
,,,,,,
凄,4,6,0,0,0,0
其,4,7,0,0,0,0
以,4,8,0,0,0,0
风,4,9,0,0,0,0
,,,,,,
我,4,11,0,0,0,0
思,4,12,0,0,0,0
古,4,13,0,0,0,0
人,4,14,0,0,0,0
,,,,,,
实,4,16,0,0,0,0
获,4,17,0,0,0,0
我,4,18,0,0,0,0
心,4,19,0,0,0,0
