font,pcol,prow,lcol,lrow,seq,cross,color
既,1,1,2,1,0,0,1
破,1,2,2,2,0,0,1
我,1,3,2,3,0,0,1
斧,1,4,2,4,0,0,1
,,,,,,,
又,1,6,2,6,0,0,1
缺,1,7,2,7,0,0,1
我,1,8,2,8,0,0,1
斨,1,9,2,9,1,0,2
,,,,,,,
周,1,11,2,11,0,0,1
公,1,12,2,12,0,0,1
东,1,13,2,13,0,0,1
征,1,14,2,14,0,0,1
,,,,,,,
四,1,16,2,16,0,0,1
国,1,17,2,17,0,0,1
是,1,18,2,18,0,0,1
皇,1,19,2,19,1,0,2
,,,,,,,
哀,1,21,2,21,0,0,1
我,1,22,2,22,0,0,1
人,1,23,2,23,0,0,1
斯,1,24,2,24,0,0,1
,,,,,,,
亦,1,26,2,26,0,0,1
孔,1,27,2,27,0,0,1
之,1,28,2,28,0,0,1
将,1,29,2,29,1,0,2
,,,,,,,
既,2,1,3,1,0,0,1
破,2,2,3,2,0,0,1
我,2,3,3,3,0,0,1
斧,2,4,3,4,0,0,1
,,,,,,,
又,2,6,3,6,0,0,1
缺,2,7,3,7,0,0,1
我,2,8,3,8,0,0,1
锜,2,9,3,9,2,0,2
,,,,,,,
周,2,11,3,11,0,0,1
公,2,12,3,12,0,0,1
东,2,13,3,13,0,0,1
征,2,14,3,14,0,0,1
,,,,,,,
四,2,16,3,16,0,0,1
国,2,17,3,17,0,0,1
是,2,18,3,18,0,0,1
遒,2,19,3,19,0,0,1
,,,,,,,
哀,2,21,3,21,0,0,1
我,2,22,3,22,0,0,1
人,2,23,3,23,0,0,1
斯,2,24,3,24,0,0,1
,,,,,,,
亦,2,26,3,26,0,0,1
孔,2,27,3,27,0,0,1
之,2,28,3,28,0,0,1
嘉,2,29,3,29,2,0,2
,,,,,,,
既,3,1,0,0,0,0,1
破,3,2,0,0,0,0,1
我,3,3,0,0,0,0,1
斧,3,4,0,0,0,0,1
,,,,,,,
又,3,6,0,0,0,0,1
缺,3,7,0,0,0,0,1
我,3,8,0,0,0,0,1
銶,3,9,0,0,0,0,2
,,,,,,,
周,3,11,0,0,0,0,1
公,3,12,0,0,0,0,1
东,3,13,0,0,0,0,1
征,3,14,0,0,0,0,1
,,,,,,,
四,3,16,0,0,0,0,1
国,3,17,0,0,0,0,1
是,3,18,0,0,0,0,1
遒,3,19,0,0,0,0,1
,,,,,,,
哀,3,21,0,0,0,0,1
我,3,22,0,0,0,0,1
人,3,23,0,0,0,0,1
斯,3,24,0,0,0,0,1
,,,,,,,
亦,3,26,0,0,0,0,1
孔,3,27,0,0,0,0,1
之,3,28,0,0,0,0,1
休,3,29,0,0,0,0,2
