font,pcol,prow,lcol,lrow,seq,cross,color
七,1,1,2,1,0,0,1
月,1,2,2,2,0,0,1
流,1,3,2,3,0,0,1
火,1,4,2,4,0,0,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
九,1,9,2,9,0,0,1
月,1,10,2,10,0,0,1
授,1,11,2,11,0,0,1
衣,1,12,2,12,0,0,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
一,1,17,0,0,0,0,0
之,1,18,0,0,0,0,0
日,1,19,0,0,0,0,0
觱,1,20,0,0,0,0,0
发,1,21,0,0,0,0,0
,,,,,,,
二,1,23,0,0,0,0,0
之,1,24,0,0,0,0,0
日,1,25,0,0,0,0,0
栗,1,26,0,0,0,0,0
烈,1,27,0,0,0,0,0
,,,,,,,
无,1,29,0,0,0,0,0
衣,1,30,0,0,0,0,0
无,1,31,0,0,0,0,0
褐,1,32,0,0,0,0,0
,,,,,,,
,,,,,,,
何,1,35,0,0,0,0,0
以,1,36,0,0,0,0,0
卒,1,37,0,0,0,0,0
岁,1,38,0,0,0,0,0
,,,,,,,
三,1,40,0,0,0,0,0
之,1,41,0,0,0,0,0
日,1,42,0,0,0,0,0
于,1,43,0,0,0,0,0
耜,1,44,0,0,0,0,0
,,,,,,,
四,1,46,0,0,0,0,0
之,1,47,0,0,0,0,0
日,1,48,0,0,0,0,0
举,1,49,0,0,0,0,0
趾,1,50,0,0,0,0,0
,,,,,,,
同,1,52,0,0,0,0,0
我,1,53,0,0,0,0,0
妇,1,54,0,0,0,0,0
子,1,55,0,0,0,0,0
,,,,,,,
馌,1,57,0,0,0,0,0
彼,1,58,0,0,0,0,0
南,1,59,0,0,0,0,0
亩,1,60,0,0,0,0,0
,,,,,,,
田,1,62,0,0,0,0,0
畯,1,63,0,0,0,0,0
至,1,64,0,0,0,0,0
喜,1,65,0,0,0,0,0
,,,,,,,
七,2,1,3,1,0,0,1
月,2,2,3,2,0,0,1
流,2,3,3,3,0,0,1
