font,pcol,prow,lcol,lrow,seq,cross
维,1,1,2,1,0,0
鹊,1,2,2,2,0,0
有,1,3,2,3,0,0
巢,1,4,2,4,0,0
,,,,,,
维,1,6,2,6,0,0
鸠,1,7,2,7,0,0
居,1,8,2,8,1,0
之,1,9,2,9,0,0
,,,,,,
之,1,11,2,11,0,0
子,1,12,2,12,0,0
于,1,13,2,13,0,0
归,1,14,2,14,0,0
,,,,,,
百,1,16,2,16,0,0
两,1,17,2,17,0,0
御,1,18,2,18,1,0
之,1,19,2,19,0,0
,,,,,,
维,2,1,3,1,0,0
鹊,2,2,3,2,0,0
有,2,3,3,3,0,0
巢,2,4,3,4,0,0
,,,,,,
维,2,6,3,6,0,0
鸠,2,7,3,7,0,0
方,2,8,3,8,2,0
之,2,9,3,9,0,0
,,,,,,
之,2,11,3,11,0,0
子,2,12,3,12,0,0
于,2,13,3,13,0,0
归,2,14,3,14,0,0
,,,,,,
百,2,16,3,16,0,0
两,2,17,3,17,0,0
将,2,18,3,18,2,0
之,2,19,3,19,0,0
,,,,,,
维,3,1,0,0,0,0
鹊,3,2,0,0,0,0
有,3,3,0,0,0,0
巢,3,4,0,0,0,0
,,,,,,
维,3,6,0,0,0,0
鸠,3,7,0,0,0,0
盈,3,8,0,0,0,0
之,3,9,0,0,0,0
,,,,,,
之,3,11,0,0,0,0
子,3,12,0,0,0,0
于,3,13,0,0,0,0
归,3,14,0,0,0,0
,,,,,,
百,3,16,0,0,0,0
两,3,17,0,0,0,0
成,3,18,0,0,0,0
之,3,19,0,0,0,0
