font,pcol,prow,lcol,lrow,seq,cross,color
遵,1,1,2,1,0,0,1
彼,1,2,2,2,0,0,1
汝,1,3,2,3,0,0,1
坟,1,4,2,4,0,0,1
,,,,,,,
伐,1,6,2,6,0,0,1
其,1,7,2,7,0,0,1
条,1,8,2,8,0,0,1
枚,1,9,2,9,1,0,2
,,,,,,,
未,1,11,2,11,1,0,2
见,1,12,2,12,0,0,1
君,1,13,2,13,0,0,1
子,1,14,2,14,0,0,1
,,,,,,,
惄,1,16,0,0,0,0,0
如,1,17,0,0,0,0,0
调,1,18,0,0,0,0,0
饥,1,19,0,0,0,0,0
,,,,,,,
遵,2,1,0,0,0,0,1
彼,2,2,0,0,0,0,1
汝,2,3,0,0,0,0,1
坟,2,4,0,0,0,0,1
,,,,,,,
伐,2,6,0,0,0,0,1
其,2,7,0,0,0,0,1
条,2,8,0,0,0,0,1
肄,2,9,0,0,0,0,2
,,,,,,,
既,2,11,0,0,0,0,2
见,2,12,0,0,0,0,1
君,2,13,0,0,0,0,1
子,2,14,0,0,0,0,1
,,,,,,,
不,2,16,0,0,0,0,0
我,2,17,0,0,0,0,0
遐,2,18,0,0,0,0,0
弃,2,19,0,0,0,0,0
,,,,,,,
鲂,3,1,0,0,0,0,0
鱼,3,2,0,0,0,0,0
赪,3,3,0,0,0,0,0
尾,3,4,0,0,0,0,0
,,,,,,,
王,3,6,0,0,0,0,0
室,3,7,0,0,0,0,0
如,3,8,0,0,0,0,0
毁,3,9,0,0,0,0,0
,,,,,,,
虽,3,11,0,0,0,0,0
则,3,12,0,0,0,0,0
如,3,13,0,0,0,0,0
毁,3,14,0,0,0,0,0
,,,,,,,
父,3,16,0,0,0,0,0
母,3,17,0,0,0,0,0
孔,3,18,0,0,0,0,0
迩,3,19,0,0,0,0,0
