font,pcol,prow,lcol,lrow,seq,cross,color
山,1,1,2,1,0,0,1
有,1,2,2,2,0,0,1
枢,1,3,2,3,1,0,2
,,,,,,,
隰,1,5,2,5,0,0,1
有,1,6,2,6,0,0,1
榆,1,7,2,7,1,0,2
,,,,,,,
子,1,9,2,9,0,0,1
有,1,10,2,10,0,0,1
衣,1,11,2,11,1,0,2
裳,1,12,2,12,1,0,2
,,,,,,,
弗,1,14,2,14,0,0,1
曳,1,15,2,15,1,0,2
弗,1,16,2,16,0,0,1
娄,1,17,2,17,1,0,2
,,,,,,,
,,,,,,,
子,1,20,2,20,0,0,1
有,1,21,2,21,0,0,1
车,1,22,2,22,1,0,2
马,1,23,2,23,1,0,2
,,,,,,,
弗,1,25,2,25,0,0,1
驰,1,26,2,26,1,0,2
弗,1,27,2,27,0,0,1
驱,1,28,2,28,1,0,2
,,,,,,,
宛,1,30,2,30,0,0,1
其,1,31,2,31,0,0,1
死,1,32,2,32,0,0,1
矣,1,33,2,33,0,0,1
,,,,,,,
他,1,35,2,35,0,0,1
人,1,36,2,36,0,0,1
是,1,37,2,37,1,0,2
愉,1,38,2,38,1,0,2
,,,,,,,
山,2,1,3,1,0,0,1
有,2,2,3,2,0,0,1
栲,2,3,3,3,2,0,2
,,,,,,,
隰,2,5,3,5,0,0,1
有,2,6,3,6,0,0,1
杻,2,7,3,7,2,0,2
,,,,,,,
子,2,9,3,9,0,0,1
有,2,10,3,10,0,0,1
廷,2,11,3,11,2,0,2
内,2,12,3,12,2,0,2
,,,,,,,
弗,2,14,0,0,0,0,1
洒,2,15,0,0,1,0,2
弗,2,16,0,0,0,0,1
扫,2,17,0,0,1,0,2
,,,,,,,
,,,,,,,
子,2,20,0,0,0,0,1
有,2,21,0,0,0,0,1
钟,2,22,0,0,1,0,2
鼓,2,23,0,0,1,0,2
,,,,,,,
弗,2,25,0,0,0,0,1
鼓,2,26,0,0,1,0,2
弗,2,27,0,0,0,0,1
考,2,28,0,0,1,0,2
,,,,,,,
宛,2,30,3,30,0,0,1
其,2,31,3,31,0,0,1
死,2,32,3,32,0,0,1
矣,2,33,3,33,0,0,1
,,,,,,,
他,2,35,3,35,0,0,1
人,2,36,3,36,0,0,1
是,2,37,3,37,2,0,2
保,2,38,3,38,2,0,2
,,,,,,,
山,3,1,0,0,0,0,1
有,3,2,0,0,0,0,1
漆,3,3,0,0,0,0,2
,,,,,,,
隰,3,5,0,0,0,0,1
有,3,6,0,0,0,0,1
栗,3,7,0,0,0,0,2
,,,,,,,
子,3,9,0,0,0,0,1
有,3,10,0,0,0,0,1
酒,3,11,0,0,0,0,2
食,3,12,0,0,0,0,2
,,,,,,,
何,3,14,0,0,0,0,0
不,3,15,0,0,0,0,0
日,3,16,0,0,0,0,0
鼓,3,17,0,0,0,0,0
瑟,3,18,0,0,0,0,0
,,,,,,,
且,3,20,0,0,0,0,0
以,3,21,0,0,0,0,0
喜,3,22,0,0,0,0,0
乐,3,23,0,0,0,0,0
,,,,,,,
且,3,25,0,0,0,0,0
以,3,26,0,0,0,0,0
永,3,27,0,0,0,0,0
日,3,28,0,0,0,0,0
,,,,,,,
宛,3,30,0,0,0,0,1
其,3,31,0,0,0,0,1
死,3,32,0,0,0,0,1
矣,3,33,0,0,0,0,1
,,,,,,,
他,3,35,0,0,0,0,1
人,3,36,0,0,0,0,1
入,3,37,0,0,0,0,2
室,3,38,0,0,0,0,2
