font,pcol,prow,lcol,lrow,seq,cross,color
桃,1,1,2,1,0,0,1
之,1,2,2,2,0,0,1
夭,1,3,2,3,0,0,1
夭,1,4,2,4,0,0,1
,,,,,,,
灼,1,6,2,6,1,0,2
灼,1,7,2,7,1,0,2
其,1,8,2,8,0,0,1
华,1,9,2,9,1,0,2
,,,,,,,
之,1,11,2,11,0,0,1
子,1,12,2,12,0,0,1
于,1,13,2,13,0,0,1
归,1,14,2,14,0,0,1
,,,,,,,
宜,1,16,2,16,0,0,1
其,1,17,2,17,0,0,1
室,1,18,2,18,1,0,2
家,1,19,2,19,1,0,2
,,,,,,,
桃,2,1,3,1,0,0,1
之,2,2,3,2,0,0,1
夭,2,3,3,3,0,0,1
夭,2,4,3,4,0,0,1
,,,,,,,
有,2,6,0,0,0,0,2
蕡,2,7,0,0,0,0,2
其,2,8,0,0,0,0,1
实,2,9,0,0,0,0,2
,,,,,,,
之,2,11,3,11,0,0,1
子,2,12,3,12,0,0,1
于,2,13,3,13,0,0,1
归,2,14,3,14,0,0,1
,,,,,,,
宜,2,16,3,16,0,0,1
其,2,17,3,17,0,0,1
家,2,18,3,18,0,0,2
室,2,19,3,19,2,0,2
,,,,,,,
桃,3,1,0,0,0,0,1
之,3,2,0,0,0,0,1
夭,3,3,0,0,0,0,1
夭,3,4,0,0,0,0,1
,,,,,,,
其,3,6,0,0,0,0,0
叶,3,7,0,0,0,0,0
蓁,3,8,0,0,0,0,0
蓁,3,9,0,0,0,0,0
,,,,,,,
之,3,11,0,0,0,0,1
子,3,12,0,0,0,0,1
于,3,13,0,0,0,0,1
归,3,14,0,0,0,0,1
,,,,,,,
宜,3,16,0,0,0,0,1
其,3,17,0,0,0,0,1
家,3,18,0,0,0,0,1
人,3,19,0,0,0,0,2
