font,pcol,prow,lcol,lrow,seq,cross
天,1,1,2,1,0,0
保,1,2,2,2,0,0
定,1,3,2,3,0,0
尔,1,4,2,4,0,0
,,,,,,
亦,1,6,,,0,0
孔,1,7,0,0,0,0
之,1,8,0,0,0,0
固,1,9,0,0,0,0
,,,,,,
俾,1,11,0,0,0,0
尔,1,12,,,0,0
单,1,13,2,11,0,0
厚,1,14,2,12,0,0
,,,,,,
,,,,,,
何,1,17,2,13,0,0
福,1,18,2,14,0,0
不,1,19,,,0,0
除,1,20,0,0,0,0
,,,,,,
俾,1,22,0,0,0,0
尔,1,23,0,0,0,0
多,1,24,0,0,0,0
益,1,25,,,0,0
,,,,,,
,,,,,,
以,1,28,3,28,0,0
莫,1,29,3,29,0,0
不,1,30,3,30,0,0
庶,1,31,3,31,1,0
,,,,,,
天,2,1,3,1,0,0
保,2,2,3,2,0,0
定,2,3,3,3,0,0
尔,2,4,3,4,0,0
,,,,,,
俾,2,6,4,0,0,0
尔,2,7,,0,0,0
戬,2,8,4,0,0,0
穀,2,9,4,0,0,0
,,,,,,
罄,2,11,4,0,0,0
无,2,12,4,0,0,0
不,2,13,,0,0,0
宜,2,14,4,0,0,0
,,,,,,
,,,,,,
受,2,17,4,0,0,0
天,2,18,4,0,0,0
百,2,19,4,0,0,0
禄,2,20,,0,0,0
,,,,,,
降,2,22,0,0,0,0
尔,2,23,0,0,0,0
遐,2,24,0,0,0,0
福,2,25,0,0,0,0
,,,,,,
,,,,,,
维,2,28,,0,0,0
日,2,29,0,0,0,0
不,2,30,0,0,0,0
足,2,31,0,0,0,0
,,,,,,
天,3,1,0,0,0,0
保,3,2,0,0,0,0
定,3,3,0,0,0,0
尔,3,4,0,0,0,0
,,,,,,
以,3,6,0,0,0,0
莫,3,7,0,0,0,0
不,3,8,0,0,0,0
兴,3,9,0,0,0,0
,,,,,,
如,3,11,0,0,0,0
山,3,12,0,0,0,0
如,3,13,0,0,0,0
阜,3,14,0,0,0,0
,,,,,,
,,,,,,
如,3,17,0,0,0,0
冈,3,18,0,0,0,0
如,3,19,0,0,0,0
陵,3,20,0,0,0,0
,,,,,,
如,3,22,0,0,0,0
川,3,23,0,0,0,0
之,3,24,0,0,0,0
方,3,25,0,0,0,0
至,3,26,0,0,0,0
,,,,,,
以,3,28,0,0,0,0
莫,3,29,0,0,0,0
不,3,30,0,0,0,0
增,3,31,0,0,2,0
,,,,,,
吉,4,1,5,14,0,0
蠲,4,2,,,,
为,4,3,5,16,2,0
饎,4,4,5,17,2,0
,,,,,,
是,4,6,5,18,2,0
用,4,7,5,19,0,0
孝,4,8,,,,
享,4,9,0,0,0,0
,,,,,,
禴,4,11,0,0,0,0
祠,4,12,0,0,0,0
烝,4,13,0,0,0,0
尝,4,14,,,,
,,,,,,
,,,,,,
于,4,17,0,0,0,0
公,4,18,0,0,0,0
先,4,19,0,0,0,0
王,4,20,0,0,0,0
,,,,,,
君,4,22,,,,
曰,4,23,0,0,0,0
卜,4,24,0,0,0,0
尔,4,25,0,0,0,0
,,,,,,
,,,,,,
万,4,28,0,0,0,0
寿,4,29,,,,
无,4,30,0,0,0,0
疆,4,31,0,0,0,0
,,,,,,
神,5,1,0,0,0,0
之,5,2,0,0,0,0
吊,5,3,0,0,0,0
矣,5,4,0,0,0,0
,,,,,,
诒,5,6,0,0,0,0
尔,5,7,0,0,0,0
多,5,8,0,0,0,0
福,5,9,0,0,0,0
,,,,,,
民,5,11,0,0,0,0
之,5,12,0,0,0,0
质,5,13,0,0,0,0
矣,5,14,0,0,0,0
,,,,,,
,,,,,,
日,5,17,0,0,0,0
用,5,18,0,0,0,0
饮,5,19,0,0,0,0
食,5,20,0,0,0,0
,,,,,,
群,5,22,0,0,0,0
黎,5,23,0,0,0,0
百,5,24,0,0,0,0
姓,5,25,0,0,0,0
,,,,,,
,,,,,,
遍,5,28,0,0,0,0
为,5,29,0,0,0,0
尔,5,30,0,0,0,0
德,5,31,0,0,0,0
,,,,,,
如,6,1,0,0,0,0
月,6,2,0,0,0,0
之,6,3,0,0,0,0
恒,6,4,0,0,0,0
,,,,,,
如,6,6,0,0,0,0
日,6,7,0,0,0,0
之,6,8,0,0,0,0
升,6,9,0,0,0,0
,,,,,,
如,6,11,0,0,0,0
南,6,12,0,0,0,0
山,6,13,0,0,0,0
之,6,14,0,0,0,0
寿,6,15,0,0,0,0
,,,,,,
不,6,17,0,0,0,0
骞,6,18,0,0,0,0
不,6,19,0,0,0,0
崩,6,20,0,0,0,0
,,,,,,
如,6,22,0,0,0,0
松,6,23,0,0,0,0
柏,6,24,0,0,0,0
之,6,25,0,0,0,0
茂,6,26,0,0,0,0
,,,,,,
无,6,28,0,0,0,0
不,6,29,0,0,0,0
尔,6,30,0,0,0,0
或,6,31,0,0,0,0
承,6,32,0,0,0,0
