font,pcol,prow,lcol,lrow,seq,cross,color
肃,1,1,2,1,0,0,1
肃,1,2,2,2,0,0,1
兔,1,3,2,3,0,0,1
罝,1,4,2,4,0,0,1
,,,,,,,
椓,1,6,0,0,0,0,0
之,1,7,0,0,0,0,0
丁,1,8,0,0,0,0,0
丁,1,9,0,0,0,0,0
,,,,,,,
赳,1,11,2,11,0,0,1
赳,1,12,2,12,0,0,1
武,1,13,2,13,0,0,1
夫,1,14,2,14,0,0,1
,,,,,,,
公,1,16,2,16,0,0,1
侯,1,17,2,17,0,0,1
干,1,18,2,18,1,0,2
城,1,19,2,19,1,0,2
,,,,,,,
肃,2,1,3,1,0,0,1
肃,2,2,3,2,0,0,1
兔,2,3,3,3,0,0,1
罝,2,4,3,4,0,0,1
,,,,,,,
施,2,6,3,6,0,0,1
于,2,7,3,7,0,0,1
中,2,8,3,8,0,0,1
逵,2,9,3,9,2,0,2
,,,,,,,
赳,2,11,3,11,0,0,1
赳,2,12,3,12,0,0,1
武,2,13,3,13,0,0,1
夫,2,14,3,14,0,0,1
,,,,,,,
公,2,16,3,16,0,0,1
侯,2,17,3,17,0,0,1
好,2,18,3,18,2,0,2
仇,2,19,3,19,2,0,2
,,,,,,,
肃,3,1,0,0,0,0,1
肃,3,2,0,0,0,0,1
兔,3,3,0,0,0,0,1
罝,3,4,0,0,0,0,1
,,,,,,,
施,3,6,0,0,0,0,1
于,3,7,0,0,0,0,1
中,3,8,0,0,0,0,1
林,3,9,0,0,3,0,2
,,,,,,,
赳,3,11,0,0,0,0,1
赳,3,12,0,0,0,0,1
武,3,13,0,0,0,0,1
夫,3,14,0,0,0,0,1
,,,,,,,
公,3,16,0,0,0,0,1
侯,3,17,0,0,0,0,1
腹,3,18,0,0,3,0,2
心,3,19,0,0,3,0,2
