font,pcol,prow,lcol,lrow,seq,cross,color
岂,1,1,2,1,0,0,1
曰,1,2,2,2,0,0,1
无,1,3,2,3,0,0,1
衣,1,4,2,4,0,0,1
七,1,5,2,5,1,0,2
兮,1,6,2,6,0,0,1
,,,,,,,
不,1,8,2,8,0,0,1
如,1,9,2,9,0,0,1
子,1,10,2,10,0,0,1
之,1,11,2,11,0,0,1
衣,1,12,2,12,0,0,1
,,,,,,,
安,1,14,2,14,0,0,1
且,1,15,2,15,0,0,1
吉,1,16,2,16,1,0,2
兮,1,17,2,17,0,0,1
,,,,,,,
岂,2,1,0,0,0,0,1
曰,2,2,0,0,0,0,1
无,2,3,0,0,0,0,1
衣,2,4,0,0,0,0,1
六,2,5,0,0,0,0,2
兮,2,6,0,0,0,0,1
,,,,,,,
不,2,8,0,0,0,0,1
如,2,9,0,0,0,0,1
子,2,10,0,0,0,0,1
之,2,11,0,0,0,0,1
衣,2,12,0,0,0,0,1
,,,,,,,
安,2,14,0,0,0,0,1
且,2,15,0,0,0,0,1
燠,2,16,0,0,0,0,2
兮,2,17,0,0,0,0,1
