font,pcol,prow,lcol,lrow,seq,cross,color
小,1,1,0,0,0,0,0
戎,1,2,0,0,0,0,0
俴,1,3,0,0,0,0,0
收,1,4,0,0,0,0,0
,,,,,,,
五,1,6,0,0,0,0,0
楘,1,7,0,0,0,0,0
梁,1,8,0,0,0,0,0
辀,1,9,0,0,0,0,0
,,,,,,,
游,1,11,0,0,0,0,0
环,1,12,0,0,0,0,0
胁,1,13,0,0,0,0,0
驱,1,14,0,0,0,0,0
,,,,,,,
阴,1,16,0,0,0,0,0
靷,1,17,0,0,0,0,0
鋈,1,18,0,0,0,0,0
续,1,19,0,0,0,0,0
,,,,,,,
文,1,21,0,0,0,0,0
茵,1,22,0,0,0,0,0
畅,1,23,0,0,0,0,0
毂,1,24,0,0,0,0,0
,,,,,,,
驾,1,26,0,0,0,0,0
我,1,27,0,0,0,0,0
骐,1,28,0,0,0,0,0
馵,1,29,0,0,0,0,0
,,,,,,,
言,1,31,2,31,0,0,1
念,1,32,2,32,0,0,1
君,1,33,2,33,0,0,1
子,1,34,2,34,0,0,1
,,,,,,,
温,1,36,2,36,0,0,1
其,1,37,2,37,0,0,1
如,1,38,2,38,1,0,2
玉,1,39,2,39,1,0,2
,,,,,,,
在,1,41,0,0,0,0,0
其,1,42,0,0,0,0,0
板,1,43,0,0,0,0,0
屋,1,44,0,0,0,0,0
,,,,,,,
乱,1,46,0,0,0,0,0
我,1,47,0,0,0,0,0
心,1,48,0,0,0,0,0
曲,1,49,0,0,0,0,0
,,,,,,,
四,2,1,0,0,0,0,0
牡,2,2,0,0,0,0,0
孔,2,3,0,0,0,0,0
阜,2,4,0,0,0,0,0
,,,,,,,
六,2,6,0,0,0,0,0
辔,2,7,0,0,0,0,0
在,2,8,0,0,0,0,0
手,2,9,0,0,0,0,0
,,,,,,,
骐,2,11,0,0,0,0,0
骝,2,12,0,0,0,0,0
是,2,13,0,0,0,0,0
中,2,14,0,0,0,0,0
,,,,,,,
騧,2,16,0,0,0,0,0
骊,2,17,0,0,0,0,0
是,2,18,0,0,0,0,0
骖,2,19,0,0,0,0,0
,,,,,,,
龙,2,21,0,0,0,0,0
盾,2,22,0,0,0,0,0
之,2,23,0,0,0,0,0
合,2,24,0,0,0,0,0
,,,,,,,
鋈,2,26,0,0,0,0,0
以,2,27,0,0,0,0,0
觼,2,28,0,0,0,0,0
軜,2,29,0,0,0,0,0
,,,,,,,
言,2,31,3,31,0,0,1
念,2,32,3,32,0,0,1
君,2,33,3,33,0,0,1
子,2,34,3,34,0,0,1
,,,,,,,
温,2,36,0,0,0,0,1
其,2,37,0,0,0,0,1
在,2,38,0,0,0,0,2
邑,2,39,0,0,0,0,2
,,,,,,,
方,2,41,0,0,0,0,0
何,2,42,0,0,0,0,0
为,2,43,0,0,0,0,0
期,2,44,0,0,0,0,0
,,,,,,,
胡,2,46,0,0,0,0,0
然,2,47,0,0,0,0,0
我,2,48,0,0,0,0,0
念,2,49,0,0,0,0,0
之,2,50,0,0,0,0,
,,,,,,,
俴,3,1,0,0,0,0,0
驷,3,2,0,0,0,0,0
孔,3,3,0,0,0,0,0
群,3,4,0,0,0,0,0
,,,,,,,
厹,3,6,0,0,0,0,0
矛,3,7,0,0,0,0,0
鋈,3,8,0,0,0,0,0
錞,3,9,0,0,0,0,0
,,,,,,,
蒙,3,11,0,0,0,0,0
伐,3,12,0,0,0,0,0
有,3,13,0,0,0,0,0
苑,3,14,0,0,0,0,0
,,,,,,,
虎,3,16,0,0,0,0,0
韔,3,17,0,0,0,0,0
镂,3,18,0,0,0,0,0
膺,3,19,0,0,0,0,0
,,,,,,,
交,3,21,0,0,0,0,0
韔,3,22,0,0,0,0,0
二,3,23,0,0,0,0,0
弓,3,24,0,0,0,0,0
,,,,,,,
竹,3,26,0,0,0,0,0
闭,3,27,0,0,0,0,0
绲,3,28,0,0,0,0,0
縢,3,29,0,0,0,0,0
,,,,,,,
言,3,31,0,0,0,0,1
念,3,32,0,0,0,0,1
君,3,33,0,0,0,0,1
子,3,34,0,0,0,0,1
,,,,,,,
载,3,36,0,0,0,0,0
寝,3,37,0,0,0,0,0
载,3,38,0,0,0,0,0
兴,3,39,0,0,0,0,0
,,,,,,,
厌,3,41,0,0,0,0,0
厌,3,42,0,0,0,0,0
良,3,43,0,0,0,0,0
人,3,44,0,0,0,0,0
,,,,,,,
秩,3,46,0,0,0,0,0
秩,3,47,0,0,0,0,0
德,3,48,0,0,0,0,0
音,3,49,0,0,0,0,0
