font,pcol,prow,lcol,lrow,seq,cross
嘒,1,1,2,1,0,0
彼,1,2,2,2,0,0
小,1,3,2,3,0,0
星,1,4,2,4,0,
,,,,,,
三,1,6,0,0,0,0
五,1,7,0,0,0,0
在,1,8,0,0,0,0
东,1,9,0,0,0,
,,,,,,
肃,1,11,2,11,0,0
肃,1,12,2,12,0,0
宵,1,13,2,13,0,0
征,1,14,2,14,0,
,,,,,,
夙,1,16,0,0,0,0
夜,1,17,0,0,0,0
在,1,18,0,0,0,0
公,1,19,0,0,0,
,,,,,,
实,1,21,2,21,0,0
命,1,22,2,22,0,0
不,1,23,2,23,0,
同,1,24,2,24,1,0
,,,,,,
嘒,2,1,0,0,0,0
彼,2,2,0,0,0,0
小,2,3,0,0,0,0
星,2,4,0,0,0,0
,,,,,,
维,2,6,0,0,0,0
参,2,7,0,0,0,0
与,2,8,0,0,0,0
昴,2,9,0,0,0,0
,,,,,,
肃,2,11,0,0,0,0
肃,2,12,0,0,0,0
宵,2,13,0,0,0,0
征,2,14,0,0,0,0
,,,,,,
抱,2,16,0,0,0,0
衾,2,17,0,0,0,0
与,2,18,0,0,0,0
裯,2,19,0,0,0,0
,,,,,,
实,2,21,0,0,0,0
命,2,22,0,0,0,0
不,2,23,0,0,0,0
犹,2,24,0,0,0,0
