font,pcol,prow,lcol,lrow,seq,cross,color
冽,1,1,2,1,0,0,1
彼,1,2,2,2,0,0,1
下,1,3,2,3,0,0,1
泉,1,4,2,4,0,0,1
,,,,,,,
浸,1,6,2,6,0,0,1
彼,1,7,2,7,0,0,1
苞,1,8,2,8,0,0,1
稂,1,9,2,9,1,0,2
,,,,,,,
忾,1,11,2,11,0,0,1
我,1,12,2,12,0,0,1
寤,1,13,2,13,0,0,1
叹,1,14,2,14,0,0,1
,,,,,,,
念,1,16,2,16,0,0,1
彼,1,17,2,17,0,0,1
周,1,18,2,19,0,1,1
京,1,19,2,18,0,1,2
,,,,,,,
冽,2,1,3,1,0,0,1
彼,2,2,3,2,0,0,1
下,2,3,3,3,0,0,1
泉,2,4,3,4,0,0,1
,,,,,,,
浸,2,6,3,6,0,0,1
彼,2,7,3,7,0,0,1
苞,2,8,3,8,0,0,1
萧,2,9,3,9,2,0,2
,,,,,,,
忾,2,11,3,11,0,0,1
我,2,12,3,12,0,0,1
寤,2,13,3,13,0,0,1
叹,2,14,3,14,0,0,1
,,,,,,,
念,2,16,3,16,0,0,1
彼,2,17,3,17,0,0,1
京,2,18,3,18,0,0,1
周,2,19,3,19,1,0,2
,,,,,,,
冽,3,1,0,0,0,0,1
彼,3,2,0,0,0,0,1
下,3,3,0,0,0,0,1
泉,3,4,0,0,0,0,1
,,,,,,,
浸,3,6,0,0,0,0,1
彼,3,7,0,0,0,0,1
苞,3,8,0,0,0,0,1
蓍,3,9,0,0,0,0,2
,,,,,,,
忾,3,11,0,0,0,0,1
我,3,12,0,0,0,0,1
寤,3,13,0,0,0,0,1
叹,3,14,0,0,0,0,1
,,,,,,,
念,3,16,0,0,0,0,1
彼,3,17,0,0,0,0,1
京,3,18,0,0,0,0,1
师,3,19,0,0,0,0,2
,,,,,,,
芃,4,1,0,0,0,0,0
芃,4,2,0,0,0,0,0
黍,4,3,0,0,0,0,0
苗,4,4,0,0,0,0,0
,,,,,,,
阴,4,6,0,0,0,0,0
雨,4,7,0,0,0,0,0
膏,4,8,0,0,0,0,0
之,4,9,0,0,0,0,0
,,,,,,,
四,4,11,0,0,0,0,0
国,4,12,0,0,0,0,0
有,4,13,0,0,0,0,0
王,4,14,0,0,0,0,0
,,,,,,,
郇,4,16,0,0,0,0,0
伯,4,17,0,0,0,0,0
劳,4,18,0,0,0,0,0
之,4,19,0,0,0,0,0
