font,pcol,prow,lcol,lrow,seq,cross
厌,1,1,0,0,0,0
浥,1,2,0,0,0,0
行,1,3,0,0,0,0
露,1,4,0,0,0,0
,,,,,,
岂,1,6,0,0,0,0
不,1,7,0,0,0,0
夙,1,8,0,0,0,0
夜,1,9,0,0,0,0
,,,,,,
谓,1,11,0,0,0,0
行,1,12,0,0,0,0
多,1,13,0,0,0,0
露,1,14,0,0,0,0
,,,,,,
谁,2,1,3,1,0,0
谓,2,2,3,2,0,0
雀,2,3,3,3,1,0
无,2,4,3,4,0,0
角,2,5,3,5,1,0
,,,,,,
何,2,7,3,7,0,0
以,2,8,3,8,0,0
穿,2,9,3,9,0,0
我,2,10,3,10,0,0
屋,2,11,3,11,1,0
,,,,,,
谁,2,13,3,13,0,0
谓,2,14,3,14,0,0
女,2,15,3,15,0,0
无,2,16,3,16,0,0
家,2,17,3,17,0,0
,,,,,,
何,2,19,3,19,0,0
以,2,20,3,20,0,0
速,2,21,3,21,0,0
我,2,22,3,22,0,0
狱,2,23,3,23,1,0
,,,,,,
虽,2,25,3,25,0,0
速,2,26,3,26,0,0
我,2,27,3,27,0,0
狱,2,28,3,28,1,0
,,,,,,
室,2,30,3,0,0,0
家,2,31,3,0,0,0
不,2,32,3,0,0,0
足,2,33,3,0,0,0
,,,,,,
谁,3,1,0,0,0,0
谓,3,2,0,0,0,0
鼠,3,3,0,0,0,0
无,3,4,0,0,0,0
牙,3,5,0,0,0,0
,,,,,,
何,3,7,0,0,0,0
以,3,8,0,0,0,0
穿,3,9,0,0,0,0
我,3,10,0,0,0,0
墉,3,11,0,0,0,0
,,,,,,
谁,3,13,0,0,0,0
谓,3,14,0,0,0,0
女,3,15,0,0,0,0
无,3,16,0,0,0,0
家,3,17,0,0,0,0
,,,,,,
何,3,19,0,0,0,0
以,3,20,0,0,0,0
速,3,21,0,0,0,0
我,3,22,0,0,0,0
讼,3,23,0,0,0,0
,,,,,,
虽,3,25,0,0,0,0
速,3,26,0,0,0,0
我,3,27,0,0,0,0
讼,3,28,0,0,0,0
,,,,,,
亦,3,30,0,0,0,0
不,3,31,0,0,0,0
女,3,32,0,0,0,0
从,3,33,0,0,0,0
