font,pcol,prow,lcol,lrow,seq,cross,color
隰,1,1,2,1,0,0,1
有,1,2,2,2,0,0,1
苌,1,3,2,3,0,0,1
楚,1,4,2,4,0,0,1
,,,,,,,
猗,1,6,2,6,0,0,1
傩,1,7,2,7,0,0,1
其,1,8,2,8,0,0,1
枝,1,9,2,9,1,0,2
,,,,,,,
夭,1,11,2,11,0,0,1
之,1,12,2,12,0,0,1
沃,1,13,2,13,0,0,1
沃,1,14,2,14,0,0,1
,,,,,,,
乐,1,16,2,16,0,0,1
子,1,17,2,17,0,0,1
之,1,18,2,18,0,0,1
无,1,19,2,19,0,0,1
知,1,20,2,20,1,0,2
,,,,,,,
隰,2,1,3,1,0,0,1
有,2,2,3,2,0,0,1
苌,2,3,3,3,0,0,1
楚,2,4,3,4,0,0,1
,,,,,,,
猗,2,6,3,6,0,0,1
傩,2,7,3,7,0,0,1
其,2,8,3,8,0,0,1
华,2,9,3,9,2,0,2
,,,,,,,
夭,2,11,3,11,0,0,1
之,2,12,3,12,0,0,1
沃,2,13,3,13,0,0,1
沃,2,14,3,14,0,0,1
,,,,,,,
乐,2,16,3,16,0,0,1
子,2,17,3,17,0,0,1
之,2,18,3,18,0,0,1
无,2,19,3,19,0,0,1
家,2,20,3,20,2,0,2
,,,,,,,
隰,3,1,0,0,0,0,1
有,3,2,0,0,0,0,1
苌,3,3,0,0,0,0,1
楚,3,4,0,0,0,0,1
,,,,,,,
猗,3,6,0,0,0,0,1
傩,3,7,0,0,0,0,1
其,3,8,0,0,0,0,1
实,3,9,0,0,0,0,2
,,,,,,,
夭,3,11,0,0,0,0,1
之,3,12,0,0,0,0,1
沃,3,13,0,0,0,0,1
沃,3,14,0,0,0,0,1
,,,,,,,
乐,3,16,0,0,0,0,1
子,3,17,0,0,0,0,1
之,3,18,0,0,0,0,1
无,3,19,0,0,0,0,1
室,3,20,0,0,0,0,2
