font,pcol,prow,lcol,lrow,seq,cross
野,1,1,2,6,0,1
有,1,2,2,7,0,1
死,1,3,2,8,0,1
麕,1,4,2,9,1,1
,,,,,,
白,1,6,2,0,0,0
茅,1,7,2,0,0,0
包,1,8,2,0,0,0
之,1,9,2,0,0,0
,,,,,,
有,1,11,2,16,0,1
女,1,12,2,17,0,1
怀,1,13,2,18,1,1
春,1,14,2,19,1,1
,,,,,,
吉,1,16,2,0,0,0
士,1,17,2,0,0,0
诱,1,18,2,0,0,0
之,1,19,2,0,0,0
,,,,,,
林,2,1,0,0,0,0
有,2,2,0,0,0,0
朴,2,3,0,0,0,0
樕,2,4,0,0,0,0
,,,,,,
野,2,6,0,0,0,0
有,2,7,0,0,0,0
死,2,8,0,0,0,0
鹿,2,9,0,0,0,0
,,,,,,
白,2,11,0,0,0,0
茅,2,12,0,0,0,0
纯,2,13,0,0,0,0
束,2,14,0,0,0,0
,,,,,,
有,2,16,0,0,0,0
女,2,17,0,0,0,0
如,2,18,0,0,0,0
玉,2,19,0,0,0,0
,,,,,,
舒,3,1,0,0,0,0
而,3,2,0,0,0,0
脱,3,3,0,0,0,0
脱,3,4,0,0,0,0
兮,3,5,0,0,0,0
,,,,,,
无,3,7,0,0,0,0
感,3,8,0,0,0,0
我,3,9,0,0,0,0
帨,3,10,0,0,0,0
兮,3,11,0,0,0,0
,,,,,,
无,3,13,0,0,0,0
使,3,14,0,0,0,0
尨,3,15,0,0,0,0
也,3,16,0,0,0,0
吠,3,17,0,0,0,0
