font,pcol,prow,lcol,lrow,seq,cross
殷,1,1,2,1,0,0
其,1,2,2,2,0,0
雷,1,3,2,3,0,0
,,,,,,
在,1,5,2,5,0,0
南,1,6,2,6,0,0
山,1,7,2,7,0,0
之,1,8,2,8,0,0
阳,1,9,2,9,1,0
,,,,,,
何,1,11,2,11,0,0
斯,1,12,2,12,0,0
违,1,13,2,13,0,0
斯,1,14,2,14,0,0
,,,,,,
莫,1,16,2,16,0,0
敢,1,17,2,17,0,0
或,1,18,2,19,1,1
遑,1,19,2,18,0,1
,,,,,,
振,1,21,2,21,0,0
振,1,22,2,22,0,0
君,1,23,2,23,0,0
子,1,24,2,24,0,0
,,,,,,
归,1,26,2,26,0,0
哉,1,27,2,27,0,0
归,1,28,2,28,0,0
哉,1,29,2,29,0,0
,,,,,,
殷,2,1,3,1,0,0
其,2,2,3,2,0,0
雷,2,3,3,3,0,0
,,,,,,
在,2,5,3,5,0,0
南,2,6,3,6,0,0
山,2,7,3,7,0,0
之,2,8,3,8,0,0
侧,2,9,3,9,2,0
,,,,,,
何,2,11,3,11,0,0
斯,2,12,3,12,0,0
违,2,13,3,13,0,0
斯,2,14,3,14,0,0
,,,,,,
莫,2,16,3,16,0,0
敢,2,17,3,17,2,0
遑,2,18,3,18,0,0
息,2,19,3,19,2,0
,,,,,,
振,2,21,3,21,0,0
振,2,22,3,22,0,0
君,2,23,3,23,0,0
子,2,24,3,24,0,0
,,,,,,
归,2,26,3,26,0,0
哉,2,27,3,27,0,0
归,2,28,3,28,0,0
哉,2,29,3,29,0,0
,,,,,,
殷,3,1,0,0,0,0
其,3,2,0,0,0,0
雷,3,3,0,0,0,0
,,,,,,
在,3,5,0,0,0,0
南,3,6,0,0,0,0
山,3,7,0,0,0,0
之,3,8,0,0,0,0
下,3,9,0,0,0,0
,,,,,,
何,3,11,0,0,0,0
斯,3,12,0,0,0,0
违,3,13,0,0,0,0
斯,3,14,0,0,0,0
,,,,,,
莫,3,16,0,0,0,0
或,3,17,0,0,0,0
遑,3,18,0,0,0,0
处,3,19,0,0,0,0
,,,,,,
振,3,21,0,0,0,0
振,3,22,0,0,0,0
君,3,23,0,0,0,0
子,3,24,0,0,0,0
,,,,,,
归,3,26,0,0,0,0
哉,3,27,0,0,0,0
归,3,28,0,0,0,0
哉,3,29,0,0,0,0
