font,pcol,prow,lcol,lrow,seq,cross,color
终,1,1,2,1,0,0,1
南,1,2,2,2,0,0,1
何,1,3,2,3,0,0,1
有,1,4,2,4,0,0,1
,,,,,,,
有,1,6,2,6,0,0,1
条,1,7,2,7,0,0,2
有,1,8,2,8,0,0,1
梅,1,9,2,9,0,0,2
,,,,,,,
君,1,11,2,11,0,0,1
子,1,12,2,12,0,0,1
至,1,13,2,13,0,0,1
止,1,14,2,14,0,0,1
,,,,,,,
锦,1,16,2,16,0,0,2
衣,1,17,2,17,0,0,1
狐,1,18,2,18,0,0,2
裘,1,19,2,19,0,0,2
,,,,,,,
颜,1,21,0,0,0,0,0
如,1,22,0,0,0,0,0
渥,1,23,0,0,0,0,0
丹,1,24,0,0,0,0,0
,,,,,,,
其,1,26,0,0,0,0,0
君,1,27,0,0,0,0,0
也,1,28,0,0,0,0,0
哉,1,29,0,0,0,0,0
,,,,,,,
终,2,1,0,0,0,0,1
南,2,2,0,0,0,0,1
何,2,3,0,0,0,0,1
有,2,4,0,0,0,0,1
,,,,,,,
有,2,6,0,0,0,0,1
纪,2,7,0,0,0,0,2
有,2,8,0,0,0,0,1
堂,2,9,0,0,0,0,2
,,,,,,,
君,2,11,0,0,0,0,1
子,2,12,0,0,0,0,1
至,2,13,0,0,0,0,1
止,2,14,0,0,0,0,1
,,,,,,,
黻,2,16,0,0,0,0,2
衣,2,17,0,0,0,0,1
绣,2,18,0,0,0,0,2
裳,2,19,0,0,0,0,2
,,,,,,,
佩,2,21,0,0,0,0,0
玉,2,22,0,0,0,0,0
将,2,23,0,0,0,0,0
将,2,24,0,0,0,0,0
,,,,,,,
寿,2,26,0,0,0,0,0
考,2,27,0,0,0,0,0
不,2,28,0,0,0,0,0
忘,2,29,0,0,0,0,0
