font,pcol,prow,lcol,lrow,seq,cross,color
螽,1,1,2,1,0,0,1
斯,1,2,2,2,0,0,1
羽,1,3,2,3,0,0,1
,,,,,,,
诜,1,5,2,5,1,0,2
诜,1,6,2,6,1,0,2
兮,1,7,2,7,0,0,1
,,,,,,,
宜,1,9,2,9,0,0,1
尔,1,10,2,10,0,0,1
子,1,11,2,11,0,0,1
孙,1,12,2,12,0,0,1
,,,,,,,
振,1,14,2,14,1,0,2
振,1,15,2,15,1,0,2
兮,1,16,2,16,0,0,1
,,,,,,,
螽,2,1,3,1,0,0,1
斯,2,2,3,2,0,0,1
羽,2,3,3,3,0,0,1
,,,,,,,
薨,2,5,3,5,2,0,2
薨,2,6,3,6,2,0,2
兮,2,7,3,7,0,0,1
,,,,,,,
宜,2,9,3,9,0,0,1
尔,2,10,3,10,0,0,1
子,2,11,3,11,0,0,1
孙,2,12,3,12,0,0,1
,,,,,,,
绳,2,14,3,14,2,0,2
绳,2,15,3,15,2,0,2
兮,2,16,3,16,0,0,1
,,,,,,,
螽,3,1,0,0,0,0,1
斯,3,2,0,0,0,0,1
羽,3,3,0,0,0,0,1
,,,,,,,
揖,3,5,0,0,3,0,2
揖,3,6,0,0,3,0,2
兮,3,7,0,0,0,0,1
,,,,,,,
宜,3,9,0,0,0,0,1
尔,3,10,0,0,0,0,1
子,3,11,0,0,0,0,1
孙,3,12,0,0,0,0,1
,,,,,,,
蛰,3,14,0,0,3,0,2
蛰,3,15,0,0,3,0,2
兮,3,16,0,0,0,0,1
