class,id,chapter,title,zhang,futa,genghuan,sort,sort1,sort2
lumingzhishi,luming,小雅·鹿鸣之什,鹿鸣,103,73,20,0,24,4
lumingzhishi,simu,小雅·鹿鸣之什,四牡,100,72,8,1,23,37
lumingzhishi,huanghuangzhehua,小雅·鹿鸣之什,皇皇者华,80,64,14,2,16,9
lumingzhishi,changli,小雅·鹿鸣之什,常棣,129,32,8,3,52,43
lumingzhishi,famu,小雅·鹿鸣之什,伐木,144,88,36,4,30,2
lumingzhishi,tianbao,小雅·鹿鸣之什,天保,148,20,2,5,66,80
lumingzhishi,caiwei,小雅·鹿鸣之什,采薇,192,128,51,6,26,1
lumingzhishi,chuche,小雅·鹿鸣之什,出车,192,32,4,7,59,75
lumingzhishi,didu,小雅·鹿鸣之什,杕杜,112,52,13,8,39,23
lumingzhishi,yuli,小雅·鹿鸣之什,鱼丽,63,57,7,9,8,24
lumingzhishi,nangai,小雅·鹿鸣之什,南陔（今佚）,0,0,0,10,93,93
lumingzhishi,baihua,小雅·鹿鸣之什,白华（今佚）,0,0,0,11,94,94
lumingzhishi,huashu,小雅·鹿鸣之什,华黍（今佚）,0,0,0,12,95,95
nanyoujiayuzhishi,nanyoujiayu,小雅·南有嘉鱼之什,南有嘉鱼,68,56,12,13,14,8
nanyoujiayuzhishi,nanshanyoutai,小雅·南有嘉鱼之什,南山有台,120,112,22,14,5,6
nanyoujiayuzhishi,yougeng,小雅·南有嘉鱼之什,由庚（今佚）,0,0,0,15,96,96
nanyoujiayuzhishi,chongqiu,小雅·南有嘉鱼之什,崇丘（今佚）,0,0,0,16,97,97
nanyoujiayuzhishi,youyi,小雅·南有嘉鱼之什,由仪（今佚）,0,0,0,17,98,98
nanyoujiayuzhishi,liaoxiao,小雅·南有嘉鱼之什,蓼萧,98,48,8,18,37,36
nanyoujiayuzhishi,zhanlu,小雅·南有嘉鱼之什,湛露,64,36,8,19,34,21
nanyoujiayuzhishi,tonggong,小雅·南有嘉鱼之什,彤弓,72,72,9,20,0,18
nanyoujiayuzhishi,jingjingzhee,小雅·南有嘉鱼之什,菁菁者莪,64,48,5,21,20,38
nanyoujiayuzhishi,liuyue,小雅·南有嘉鱼之什,六月,192,24,12,22,68,42
nanyoujiayuzhishi,caiqi,小雅·南有嘉鱼之什,采芑,192,68,0,23,43,84
nanyoujiayuzhishi,chegong,小雅·南有嘉鱼之什,车攻,128,16,6,24,69,52
nanyoujiayuzhishi,jiri,小雅·南有嘉鱼之什,吉日,96,8,4,25,74,56
hongyanzhishi,hongyan,小雅·鸿雁之什,鸿雁,72,20,2,26,46,66
hongyanzhishi,tingliao,小雅·鸿雁之什,庭燎,57,53,14,27,6,3
hongyanzhishi,mianshui,小雅·鸿雁之什,沔水,88,24,2,28,47,73
hongyanzhishi,heming,小雅·鸿雁之什,鹤鸣,74,74,8,29,1,26
hongyanzhishi,qifu,小雅·鸿雁之什,祈父,47,39,6,30,13,17
hongyanzhishi,baiju,小雅·鸿雁之什,白驹,97,56,8,31,32,35
hongyanzhishi,huangniao,小雅·鸿雁之什,黄鸟,84,84,15,32,2,7
hongyanzhishi,woxingqiye,小雅·鸿雁之什,我行其野,72,48,7,33,27,29
hongyanzhishi,sigan,小雅·鸿雁之什,斯干,214,32,8,34,65,5
hongyanzhishi,wuyang,小雅·鸿雁之什,无羊,130,8,4,35,49,61
jienanshanzhishi,jienanshan,小雅·节南山之什,节南山,258,24,4,36,73,78
jienanshanzhishi,zhengyue,小雅·节南山之什,正月,382,28,15,37,77,57
jienanshanzhishi,shiyuezhijiao,小雅·节南山之什,十月之交,325,16,8,38,86,71
jienanshanzhishi,yuwuzheng,小雅·节南山之什,雨无正,161,8,4,39,85,70
jienanshanzhishi,xiaomin,小雅·节南山之什,小旻,194,0,0,40,99,99
jienanshanzhishi,xiaowan,小雅·节南山之什,小宛,145,0,0,41,100,100
jienanshanzhishi,xiaobian,小雅·节南山之什,小弁,258,16,16,42,80,44
jienanshanzhishi,qiaoyan,小雅·节南山之什,巧言,193,8,2,43,88,82
jienanshanzhishi,herensi,小雅·节南山之什,何人斯,192,24,2,44,70,81
jienanshanzhishi,xiangbo,小雅·节南山之什,巷伯,140,32,10,45,54,39
gufengzhishi,gufeng,小雅·谷风之什,谷风,72,56,11,46,18,13
gufengzhishi,liaoe,小雅·谷风之什,蓼莪,130,32,4,47,53,62
gufengzhishi,dadong,小雅·谷风之什,大东,227,12,4,48,84,77
