class,id,chapter,title,pcol,prow,lcol,lrow,num,change,seq,cross
zhaonan,gantang,国风·召南,甘棠,1,1,1,2,4,0,1,0
zhaonan,gantang,国风·召南,甘棠,1,2,1,3,4,0,2,0
zhaonan,zouyu,国风·召南,驺虞,1,4,1,5,4,1,1,0
zhaonan,biaoyoumei,国风·召南,摽有梅,1,6,1,7,3,0,1,0
zhaonan,biaoyoumei,国风·召南,摽有梅,1,7,1,8,3,0,2,0
zhaonan,quechao,国风·召南,鹊巢,1,9,1,10,4,0,1,0
zhaonan,quechao,国风·召南,鹊巢,1,10,1,11,4,0,2,0
zhaonan,caifan,国风·召南,采蘩,1,12,1,13,4,0,1,0
zhaonan,caiping,国风·召南,采蘋,1,15,1,16,4,2,1,0
zhaonan,caiping,国风·召南,采蘋,1,16,1,17,4,1,2,0
zhaonan,gaoyang,国风·召南,羔羊,1,18,1,19,4,1,1,0
zhaonan,gaoyang,国风·召南,羔羊,1,19,1,20,4,1,2,0
zhaonan,yeyousijun,国风·召南,野有死麕,1,21,1,22,4,3,1,0
zhaonan,yeyousijun,国风·召南,野有死麕,1,21,2,22,4,3,1,0
zhaonan,hebinongyi,国风·召南,何彼襛矣,1,24,1,25,4,0,1,0
zhaonan,jiangyousi,国风·召南,江有汜,1,27,1,28,3,1,1,0
zhaonan,jiangyousi,国风·召南,江有汜,1,28,1,29,3,1,2,0
zhaonan,xiaoxing,国风·召南,小星,1,30,1,31,4,0,1,0
zhaonan,yinqilei,国风·召南,殷其雷,1,32,1,33,3,0,1,0
zhaonan,yinqilei,国风·召南,殷其雷,1,33,1,34,3,0,2,0
zhaonan,xinglu,国风·召南,行露,1,36,1,37,5,2,1,0
zhaonan,caochong,国风·召南,草虫,1,39,1,40,4,0,2,0
zhaonan,gantang,国风·召南,甘棠,2,1,2,2,4,1,1,0
zhaonan,gantang,国风·召南,甘棠,2,2,2,3,4,1,2,0
zhaonan,zouyu,国风·召南,驺虞,2,4,2,5,4,1,1,0
zhaonan,biaoyoumei,国风·召南,摽有梅,2,6,2,7,4,1,1,0
zhaonan,quechao,国风·召南,鹊巢,2,9,2,10,4,1,1,0
zhaonan,quechao,国风·召南,鹊巢,2,10,2,11,4,1,2,0
zhaonan,caifan,国风·召南,采蘩,2,12,2,13,4,3,1,0
zhaonan,gaoyang,国风·召南,羔羊,2,18,2,19,4,1,1,0
zhaonan,gaoyang,国风·召南,羔羊,2,19,2,20,4,1,2,0
zhaonan,jiangyousi,国风·召南,江有汜,2,27,2,28,3,0,1,0
zhaonan,jiangyousi,国风·召南,江有汜,2,28,2,29,3,0,2,0
zhaonan,yinqilei,国风·召南,殷其雷,2,32,2,33,5,1,1,0
zhaonan,yinqilei,国风·召南,殷其雷,2,33,2,34,5,1,2,0
zhaonan,xinglu,国风·召南,行露,2,36,2,37,5,1,1,0
zhaonan,caochong,国风·召南,草虫,2,39,2,40,4,1,2,0
zhaonan,gantang,国风·召南,甘棠,3,1,3,2,4,1,1,0
zhaonan,gantang,国风·召南,甘棠,3,2,3,3,4,1,2,0
zhaonan,zouyu,国风·召南,驺虞,3,4,3,5,5,0,1,0
zhaonan,biaoyoumei,国风·召南,摽有梅,3,6,3,7,4,0,1,0
zhaonan,biaoyoumei,国风·召南,摽有梅,3,7,3,8,4,0,2,0
zhaonan,quechao,国风·召南,鹊巢,3,9,3,10,4,0,1,0
zhaonan,quechao,国风·召南,鹊巢,3,10,3,11,4,0,1,0
zhaonan,caifan,国风·召南,采蘩,3,12,3,13,4,0,1,0
zhaonan,caiping,国风·召南,采蘋,3,15,3,16,4,2,1,0
zhaonan,caiping,国风·召南,采蘋,3,16,3,17,4,3,2,0
zhaonan,gaoyang,国风·召南,羔羊,3,18,4,19,4,0,1,1
zhaonan,gaoyang,国风·召南,羔羊,3,19,3,20,4,0,2,0
zhaonan,yeyousijun,国风·召南,野有死麕,3,21,4,22,4,2,1,0
zhaonan,hebinongyi,国风·召南,何彼襛矣,3,25,4,26,4,0,2,1
zhaonan,jiangyousi,国风·召南,江有汜,3,27,3,28,3,1,1,0
zhaonan,jiangyousi,国风·召南,江有汜,3,28,3,29,3,1,2,0
zhaonan,xiaoxing,国风·召南,小星,3,30,3,31,4,0,1,0
zhaonan,yinqilei,国风·召南,殷其雷,3,32,3,33,4,0,1,0
zhaonan,yinqilei,国风·召南,殷其雷,3,33,3,34,4,0,2,0
zhaonan,xinglu,国风·召南,行露,3,36,3,37,5,0,1,0
zhaonan,caochong,国风·召南,草虫,3,38,3,39,4,0,1,0
zhaonan,caochong,国风·召南,草虫,3,39,3,40,4,0,2,0
zhaonan,biaoyoumei,国风·召南,摽有梅,4,6,4,7,4,1,1,0
zhaonan,biaoyoumei,国风·召南,摽有梅,4,7,4,8,4,2,2,0
zhaonan,quechao,国风·召南,鹊巢,4,9,4,10,4,1,1,0
zhaonan,quechao,国风·召南,鹊巢,4,10,4,11,4,1,2,0
zhaonan,caifan,国风·召南,采蘩,4,12,4,13,4,1,1,0
zhaonan,gaoyang,国风·召南,羔羊,4,18,3,19,4,0,1,1
zhaonan,gaoyang,国风·召南,羔羊,4,19,4,20,4,0,2,0
zhaonan,hebinongyi,国风·召南,何彼襛矣,4,24,4,25,4,3,1,0
zhaonan,hebinongyi,国风·召南,何彼襛矣,4,25,3,26,4,0,2,1
zhaonan,jiangyousi,国风·召南,江有汜,4,27,4,28,3,1,1,0
zhaonan,jiangyousi,国风·召南,江有汜,4,28,4,29,3,1,2,0
zhaonan,yinqilei,国风·召南,殷其雷,4,32,4,33,4,1,1,0
zhaonan,yinqilei,国风·召南,殷其雷,4,33,4,34,4,2,2,0
zhaonan,xinglu,国风·召南,行露,4,36,4,37,5,1,1,0
zhaonan,caochong,国风·召南,草虫,4,38,4,39,4,2,1,0
zhaonan,jiangyousi,国风·召南,江有汜,5,27,5,28,4,1,1,0
zhaonan,jiangyousi,国风·召南,江有汜,5,28,5,29,4,2,2,0
zhaonan,xiaoxing,国风·召南,小星,5,30,5,31,4,1,1,0
zhaonan,yinqilei,国风·召南,殷其雷,5,32,5,33,4,0,1,0
zhaonan,yinqilei,国风·召南,殷其雷,5,33,5,34,4,0,2,0
zhaonan,xinglu,国风·召南,行露,5,36,5,37,4,1,1,0
zhaonan,caochong,国风·召南,草虫,5,38,5,39,4,0,1,0
zhaonan,caochong,国风·召南,草虫,5,38,5,39,4,0,2,0
zhaonan,yinqilei,国风·召南,殷其雷,6,32,6,33,4,0,1,0
zhaonan,yinqilei,国风·召南,殷其雷,6,33,6,34,4,0,2,0
zhaonan,xinglu,国风·召南,行露,6,36,6,37,1,0,1,0
zhaonan,caochong,国风·召南,草虫,6,38,6,39,4,0,1,0
zhaonan,caochong,国风·召南,草虫,6,38,6,39,4,0,2,0
zhaonan,caochong,国风·召南,草虫,7,38,7,39,4,1,1,0
zhaonan,caochong,国风·召南,草虫,7,38,7,39,4,1,2,0
