class,id,chapter,title,pcol,prow,lcol,lrow,num,change,seq,cross
zhounan,linzhizhi,国风·周南,麟之趾,1,1,1,2,3,1,1,0
zhounan,linzhizhi,国风·周南,麟之趾,1,2,1,3,3,1,2,0
zhounan,getan,国风·周南,葛覃,1,4,1,6,4,0,1,0
zhounan,zhongsi,国风·周南,螽斯,1,10,1,11,3,0,1,0
zhounan,zhongsi,国风·周南,螽斯,1,11,1,12,3,1,2,0
zhounan,guanju,国风·周南,关雎,1,14,1,16,4,0,1,0
zhounan,guanju,国风·周南,关雎,1,16,1,17,4,1,3,0
zhounan,jiumu,国风·周南,樛木,1,18,1,19,4,0,1,0
zhounan,jiumu,国风·周南,樛木,1,19,1,20,4,0,2,0
zhounan,taoyao,国风·周南,桃夭,1,21,1,22,4,0,1,0
zhounan,taoyao,国风·周南,桃夭,1,22,1,23,4,0,2,0
zhounan,tuju,国风·周南,兔罝,1,24,1,25,4,0,1,0
zhounan,tuju,国风·周南,兔罝,1,25,1,26,4,0,2,0
zhounan,fuyi,国风·周南,芣苡,1,27,1,28,4,0,1,0
zhounan,fuyi,国风·周南,芣苡,1,28,1,29,4,0,2,0
zhounan,rufen,国风·周南,汝坟,1,30,1,31,4,0,1,0
zhounan,juaner,国风·周南,卷耳,1,34,1,35,4,2,1,0
zhounan,juaner,国风·周南,卷耳,1,35,1,36,4,2,2,0
zhounan,hanguang,国风·周南,汉广,1,38,1,39,4,0,2,0
zhounan,linzhizhi,国风·周南,麟之趾,2,1,2,2,4,1,1,0
zhounan,linzhizhi,国风·周南,麟之趾,2,2,2,3,4,1,2,0
zhounan,getan,国风·周南,葛覃,2,4,2,6,4,0,1,0
zhounan,zhongsi,国风·周南,螽斯,2,10,2,11,3,2,1,0
zhounan,zhongsi,国风·周南,螽斯,2,11,2,12,3,2,2,0
zhounan,guanju,国风·周南,关雎,2,14,2,16,4,1,2,0
zhounan,guanju,国风·周南,关雎,2,16,2,17,4,1,3,0
zhounan,jiumu,国风·周南,樛木,2,18,2,19,4,1,1,0
zhounan,jiumu,国风·周南,樛木,2,19,2,20,4,1,2,0
